"Complex","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"1iih",-170.4,1.93,-13,-7.69,0,178.31,-19.59,2.55,-3.992682551
"1iiq",-49.07,-1.16,-7.27,-69.11,-0.14,70.53,-100.8,15.18,-10.3340019
"1ik4",-73.01,2.17,-13.94,-4.11,0,65.82,-21.8,2.36,-10.23729332
"1ikt",-5.82,5.5,-0.02,-63.91,-0.39,17.48,-54.46,7.65,-4.69727359
"1iy7",10.14,0.72,-15.7,-17.55,-0.25,11.82,-32.98,6.89,-8.551801035
"1izh",-58.24,1.89,-7.09,-68,-0.44,61.16,-94.71,13.27,-10.63794313
"1izi",-50.98,3.55,-6.57,-62.83,-1.2,58.5,-88.17,15.01,-9.104421458
"1j01",-39.11,0.2,-4.16,-19.08,0,46.82,-36.59,3.99,-8.938635331
"1j14",-306.53,0.74,-7.37,-11.68,-0.2,311.64,-26.52,1.22,-6.203164241
"1j4r",-15.01,5.41,-0.48,-50.53,-0.87,14.11,-56.25,8.43,-10.66557415
"1jak",-40.38,1.27,-5.24,-22.51,0,42.07,-29.54,10.03,-7.695239381
"1jao",77.13,-1.92,-1.61,-25.53,-2.2,-38.79,-42.45,7.88,-8.17878225
"1jfh",-34.06,-0.56,-1.53,-33.73,0,38.8,-37.49,7.15,-2.832179664
"1jgl",-30.99,1.78,-1,-55.47,-2.93,30.18,-44.52,1.46,-12.01949419
"1jlr",-175.48,4.45,-21.1,-9.04,-3.44,171.01,-43.69,7.3,-4.600565016
"1jmf",-0.92,2.97,-14.22,-10.89,-1.19,11.65,-34.18,5.34,-7.971549592
"1jmg",-2.74,3.91,-16.51,-11.49,-0.59,-12.91,-28.62,5.19,-8.386014909
"1jmi",-13.23,1.78,-15.52,-10.75,-0.01,15.05,-37.84,2.52,-8.372199398
"1jn2",41.38,1.88,-3.81,-8.23,-2.79,-26.55,-16.03,4.93,-5.650543818
"1jn4",-138.87,6.37,-14.54,-12.86,-5.45,133.16,-61.31,15.19,-6.838677726
"1joc",-162.7,-0.2,-19.33,-9.65,0,155.85,-18.19,8.46,-6.382765878
"1jqe",-10.01,1.88,-0.75,-54.67,-11.83,57.91,-57.92,4.66,-8.897188799
"1jqy",-27.04,5.05,-3.9,-17.85,0,31.59,-42.78,24.09,-6.797231195
"1jt1",44.87,0.61,-4.54,-13.2,0,-27.91,-22.04,2.74,-4.69727359
"1jwt",-191.5,10.17,-5.13,-45.48,-0.22,191.11,-54.39,17.99,-10.84517579
"1jyq",-281.29,1.8,-28.54,-26.79,-3.59,253.28,-53.8,10.06,-12.01949419
"1jzs",4.98,0.27,-2.99,-62.73,0,20.49,-68.05,17.2,-9.118236968
"1k1i",-203.31,5.62,-11.62,-28.22,0,225.39,-55.03,10.73,-9.090605947
"1k1j",-293.05,2.59,-8.26,-35.23,-0.01,309.89,-53.8,9.12,-10.43071047
"1k1l",-388.65,2.79,-8.56,-31.25,-0.01,399.54,-51.4,9.97,-9.532702285
"1k1m",-296.56,2.81,-8.55,-31.36,-0.02,310.21,-52.7,11,-10.22347781
"1k1n",-188.08,5.43,-10.63,-32.88,0,201.16,-54.84,7.09,-9.422178201
"1k21",-122.9,2.91,-7.51,-48.66,0,124.16,-55.06,8.32,-11.57739785
"1k22",-93.29,3.16,-8.38,-46.81,0,120.32,-62.99,9.24,-11.60502887
"1k4h",-23.55,2.24,-6.17,-30.55,-5.03,36.6,-45.19,2.72,-7.059725895
"1kav",-165.36,1.58,-9.35,-33.25,-1.23,177.65,-36.86,1.82,-8.040627145
"1kc7",123.24,1.44,-9.3,-3.43,0,-78.98,-17.66,1.79,-7.626161828
"1kdk",-19.79,0.81,-1.68,-68.41,0,14.98,-52.31,0.89,-12.50303705
"1kel",-115.74,1.66,-9.65,-24.47,-6.4,119.83,-44.16,5.46,-10.05769169
"1kjr",-49.77,0.05,-6.53,-21.69,-2.74,25.54,-43.26,9.89,-8.372199398
"1kmy",-19.22,0.95,-1.67,-17.67,-2.59,14,-31.57,2.45,-7.045910385
"1koj",-155.2,1.68,-13.67,-11.4,0,132.06,-29.97,5.06,-9.256392074
"1ksn",-205.88,2.04,-7.93,-40.83,-2.62,241.74,-59.92,9.18,-12.98657992
"1kyv",39.41,-4.03,-3.62,-30.62,-14,-27.59,-63.3,10.15,-8.17878225
"1kzk",-27.54,-1.19,-2.91,-72.1,-0.52,51.3,-94.21,6.93,-14.35431547
"1l6m",-39.92,-0.58,-0.63,-6.65,-2.65,49.68,-12.09,1.47,-11.19056355
"1l83",-1.41,0,0,-19.62,0,3.92,-19.21,0.03,-4.69727359
"1lah",-71.64,2.13,-5.32,-16.71,0,48.27,-27.16,1.85,-10.38926394
"1lbf",-37.13,0.55,-16.63,-25.31,-0.73,22.27,-39.73,9.65,-10.84517579
"1lee",-29.25,2.25,-2.78,-58.88,-0.56,64.71,-72.28,5.74,-10.69320517
"1lf2",-31.27,2.08,-2.48,-55.36,-0.73,60.01,-64.81,12.79,-10.38926394
"1lf9",-72.53,7.71,-7.64,-44.91,0,85.51,-56.8,19.39,-16.57861267
"1lgt",-16.1,0.86,-1.72,-25.06,-1.86,29.5,-35.03,2.72,-8.42746144
"1lgw",-6.2,0.13,-0.75,-18.52,0,5.89,-21.33,0.19,-5.526204223
"1li2",-13.75,0.29,-0.47,-18.7,0,6.52,-19.3,0.19,-5.581466265
"1li3",-2.96,0.15,-0.09,-27.88,0,5.54,-22.38,0.36,-5.871591987
"1li6",-5.83,0.23,-0.2,-18.74,0,7.46,-18.27,0.18,-5.249894012
"1lkk",-340.3,4.54,-25.31,-27.58,-0.38,302.82,-60.28,8.5,-9.463624732
"1lkl",-342,1.78,-25.49,-13.68,-0.48,300.95,-48.91,6.1,-8.026811634
"1lor",1.69,2.48,-15.89,-17.5,0,-3.86,-38.58,5.66,-15.27995468
"1lpg",-245.42,2.65,-6.42,-46.97,-5.38,284.3,-64.75,5.44,-9.795196986
"1lpk",-257.68,7.15,-7.68,-37.29,-7.47,285.11,-59.31,12.02,-10.43071047
"1lpz",-158.09,0.26,-6.49,-46.83,-7.23,204.24,-57.49,7.25,-10.49978802
"1lrh",79.77,0.49,-0.54,-24.53,-2.05,-41.52,-29.66,1.54,-9.422178201
"1lyb",31.76,4.8,-2.99,-68.96,0,-8.66,-80.53,19.6,-15.77731306
"1lyx",-65.46,2.28,-13.2,-3.72,0,79.9,-20.47,1.81,-6.272241793
"1lzq",-45.48,5.35,-4.34,-64.46,-0.44,82.3,-88.37,17.24,-11.59121336
"1m0o",-181.19,7.91,-19.33,-23.61,-0.1,209.43,-52.3,7.05,-3.191382939
"1m1b",46.23,2.37,-8.38,-3.63,0,-0.9,-25.9,2.31,-6.43802792
"1m2p",-5.87,0.5,-2.58,-23.86,-0.1,2.66,-42.34,2.29,-8.441276951
"1m2r",-13.5,1.83,-1.48,-30.02,-0.44,12.82,-39.11,2.26,-8.92481982
"1m2x",22.14,2.46,-6.09,-14.58,0,-6.05,-24.43,5.01,-5.733436882
"1m5w",-12.86,4.24,-14.13,-11.31,0,32.29,-31.81,5.03,-5.899223008
"1m7d",-71.58,5.77,-4.55,-36.95,0,58.49,-58.3,7.28,-8.607063078
"1m7i",-47.75,3.65,-2.64,-46.49,0,60.86,-75.01,14.04,-7.460375701
"1m83",-139.01,7.34,-21.83,-14.21,-0.37,128.5,-58.03,17.98,-4.69727359
"1m9n",-130.23,7.98,-12.59,-15.16,-0.2,100.67,-56,12.49,-9.560333306
"1mai",-376.33,3.06,-30.61,-5.69,0,346.87,-19.98,-1.85,-9.228761053
"1mes",-33.4,5.93,-3.41,-62.38,0,47.08,-67.99,17.12,-10.63794313
"1met",-32.75,5.09,-3.93,-61.37,-0.18,48.96,-66.31,16.81,-12.98657992
"1meu",-28.87,6.03,-3.49,-60.61,0,42.28,-66.17,21.26,-8.42746144
"1mfi",-59.58,1.96,-4.19,-29.37,-0.73,47.7,-31.71,2.07,-7.722870402
"1mh5",-67.82,4.59,-7.65,-38.36,-2.4,79.59,-59.4,7.87,-12.72408522
"1mj7",-75.18,4.08,-4.41,-40.3,-3.96,90.47,-58.04,7.17,-11.53595132
"1mjj",-78.6,3.82,-8.52,-36.78,-3.04,92.23,-63.04,6.77,-12.07475623
"1mmp",34.61,5.08,-0.98,-35.45,-0.65,-22.54,-48.92,5.35,-8.386014909
"1mmq",-34.38,4.4,-1.6,-34.77,-0.13,45.78,-47.8,7.05,-10.38926394
"1moq",-47.3,4.41,-11.41,-11.6,0,34.18,-28.68,5.99,-4.780166653
"1mq5",-48.21,2.5,-0.59,-67.12,-3.75,110.06,-75.61,2.72,-12.4339595
"1mrn",-54.84,9.16,-10.87,-35.42,-6.21,93.82,-82.79,13.78,-6.244610772
"1mrs",131.46,5.59,-8.3,-25.09,-0.95,-90.39,-45.72,11.41,-5.470942181
"1mrw",-32,-0.15,-2.97,-68.14,-0.29,48.81,-91.24,6.25,-13.40104524
"1mrx",-28.82,0.68,-2.97,-67.18,0,46.09,-89.36,7.35,-10.03006067
"1msm",-33.32,-0.69,-2.98,-75.54,-0.32,52.09,-98.67,5.36,-14.47865506
"1msn",-30.31,-0.16,-2.91,-69.97,-0.1,50.1,-91.56,8.37,-12.5582991
"1mu6",-22.51,0.4,-1.07,-37.27,-2.21,47.09,-58.31,8.38,-11.57739785
"1mu8",-13.56,-4.75,-0.62,-38.22,-2.31,39.04,-56.89,7.74,-12.4339595
"1n1m",-104.55,1.19,-2.5,-24.54,0,90.03,-29.91,1.84,-7.874841018
"1n3i",-51.19,5.66,-2.47,-34.26,-0.24,29,-44.19,6.37,-12.28198889
"1n4h",-30.79,3.56,-3.54,-72.16,0,42.87,-54.15,4.23,-9.049159415
"1n51",-164.1,5.51,-6.15,-38.32,-2.84,177.55,-54.25,21.06,-6.700522621
"1n8v",1.62,2.7,-0.71,-60.66,0,19.24,-39.06,2.96,-8.330752866
"1nc3",-28.57,-0.12,-7.64,-33.89,-0.62,23.98,-50.7,3.83,-6.907755279
"1ndv",-188.13,8.97,-9.92,-39.12,-0.94,170.98,-34.93,12,-8.17878225
"1nf8",-147.49,-0.4,-12.68,-33.29,0,154.49,-35.1,3.07,-10.80372926
"1nfu",-135.25,1.69,-2.24,-37.17,-0.59,172.76,-55.93,13.38,-10.69320517
"1nfw",-40.37,1.39,-0.54,-41.65,-7.73,96.77,-55.43,14.37,-12.37869746
"1nfx",-55.8,1.4,-0.98,-38.36,-6.61,94.29,-56.23,22.77,-11.770815
"1nh0",-85.97,-1.1,-9.75,-56.69,-0.5,95.65,-95.49,15.15,-13.45630728
"1njc",7.56,2.15,-20.31,-11.52,-0.48,-13.51,-25.72,3.64,-7.66760836
"1njd",-4.77,2.39,-17.07,-10.55,-0.01,-1.34,-32.68,3.9,-7.695239381
"1nl9",-168.43,0.87,-13.64,-28.21,-0.56,169.8,-59.52,10.3,-8.234044293
"1nli",-33.76,0.54,-5.88,-5.03,-1.39,22.74,-24.48,0.62,-4.95976829
"1nm6",-41.06,1.1,-1.82,-54.47,-3.66,90.72,-71.95,4.16,-13.88458811
"1no6",-148.38,3.89,-10.49,-16.79,-0.53,151.12,-39.86,3.16,-6.092640156
"1nq7",-32.78,0.77,-3.56,-76.46,0,50.98,-58.51,2.73,-9.394547179
"1nt1",-26.28,5.76,-0.96,-61.2,0,61.38,-66.37,8.55,-12.28198889
"1nw4",-42.12,1.6,-4.29,-26.85,-0.26,37.22,-42.37,4.66,-12.53066808
"1nwl",-100.83,8.06,-5.92,-24.49,0,98.2,-41.79,14.33,-3.301907023
"1nz7",-241.48,2.32,-20.37,-39.44,-0.47,230.27,-71.36,8.67,-9.836643517
"1o0f",-172.4,4.89,-23,-5.96,-5.43,165.76,-37.81,8.47,-7.322220596
"1o0m",-111,2.11,-14.83,-7.4,0,89.79,-33.25,5.26,-7.114987937
"1o0n",-84.14,3.55,-11.43,-5.7,0,69.28,-30.84,6.05,-5.650543818
"1o0o",-158.87,3.68,-20.45,-2.25,-4.52,144.1,-25.8,6.27,-7.045910385
"1o2g",-278.46,3.21,-7.85,-27.88,-0.3,282.18,-45.65,8.84,-8.455092461
"1o2h",-194.95,3.2,-3.07,-29.83,-0.43,253.04,-40.89,8.52,-9.90572107
"1o2j",-196.5,3.46,-3.29,-24.71,-0.61,234.52,-40.91,5.72,-9.560333306
"1o2k",-201.47,5.55,-3.35,-24.66,-0.47,228.89,-39.61,7.61,-9.560333306
"1o2n",-197.61,2.84,-3.26,-30.04,-1.8,236.44,-50.82,6.67,-8.41364593
"1o2o",-194.99,2.55,-3.62,-24.15,-1.7,222.46,-39.14,-3.06,-8.786664715
"1o2q",-191.85,3.53,-3.02,-38.75,-1.81,249.2,-52.32,5.93,-10.61031211
"1o2s",-210.8,1.66,-3.02,-14.5,-0.16,240.19,-30.71,4.28,-7.557084275
"1o2w",-36.19,5.73,-4.05,-18.36,-2.41,66.93,-35.87,8.45,-8.082073676
"1o2x",-44.67,5.33,-4.3,-18.3,-2.08,71.1,-35.87,8.09,-8.082073676
"1o2z",-36.06,6.32,-3.97,-24.1,-1.93,94.31,-43.58,9.05,-8.441276951
"1o30",-44.16,2.37,-3.33,-23.26,-0.98,88.29,-40.34,3.37,-9.353100648
"1o33",-207.63,3.57,-3.13,-14.43,-0.29,219.11,-30.98,6.64,-7.93010306
"1o36",-37.31,4.66,-3.9,-23.78,-2.67,82.84,-45.34,9.09,-8.234044293
"1o38",-286.8,2.79,-3.65,-22.85,-2.75,320.85,-45.46,5.12,-9.422178201
"1o3d",-220.94,1.5,-3.55,-20.85,-2.41,245.14,-40.48,5.08,-9.850459028
"1o3h",-206.36,3.41,-3.03,-22.16,-2.83,248.13,-33.92,6.58,-10.08532271
"1o3i",-184.73,0.52,-2.68,-21.48,-2.58,234.18,-37.62,3.02,-10.08532271
"1o3j",-212.53,1.93,-3.11,-19.01,-2.3,237,-34.73,4.56,-9.353100648
"1o3k",-204.47,0.62,-3.01,-17.28,-1.95,229.19,-33.18,3.88,-9.353100648
"1o7o",-53.23,5.13,-13.72,-20.36,-0.73,57.91,-43.69,6.29,-6.203164241
"1oar",-45.1,-0.01,-2.67,-26.54,-13.27,45.79,-41.58,0.47,-10.22347781
"1oba",-23.18,0.99,-0.01,-19.36,0,27.09,-16.31,1.47,-3.370984576
"1ocq",-58.32,3.68,-7.25,-22.27,0,53.2,-36.38,3.41,-7.17024998
"1od8",-46.55,-0.26,-4.83,-17.54,0,51.82,-40.16,3.74,-7.045910385
"1odj",-23.06,5.35,-4.23,-20.12,-0.19,19.66,-42.8,7.64,-5.664359329
"1ody",-75.05,5.92,-6.37,-67.56,-0.33,72,-93.81,20.36,-11.19056355
"1oe8",-60.55,3.66,-7.84,-13.41,0,44.78,-34.02,4.97,-7.626161828
"1ofz",-29.94,-3.77,-4.68,-16.12,0,20.05,-22.57,5.35,-6.382765878
"1ogg",-70.31,4.14,-2.71,-50.82,0,52.53,-63.52,7.49,-7.17024998
"1ogx",-19.79,0.79,-1.34,-37.68,-0.65,14.33,-33.11,1.13,-8.41364593
"1ohr",-41.72,1.3,-3.06,-68.96,0,56.99,-84.13,10.92,-12.01949419
"1oif",-23.54,1.29,-4.2,-19.02,0,46.58,-25.26,4.03,-10.66557415
"1okl",5.31,0.85,-2.24,-21.11,-1.06,-7.51,-25.83,2.64,-8.330752866
"1ony",-129.44,0.44,-15.32,-28.25,-0.26,128.79,-62.12,13.35,-9.353100648
"1onz",-133.41,2.57,-10.34,-14.49,-0.75,133.52,-41.16,1.65,-7.045910385
"1os0",52.07,4.77,-6.71,-36.42,-1.88,1.7,-55.19,12.48,-8.330752866
"1os5",-23.25,-1.32,-1.78,-50.65,-2.66,32.18,-52.25,16.86,-9.463624732
"1oss",-177.94,1.59,-7.22,-10.98,0,171.81,-24.52,2.93,-6.617629557
"1ow4",9.47,0.58,-2.32,-35.15,-1,0.28,-43.2,1.71,-7.847209997
"1owd",-209.29,2.27,-7.62,-30.32,-0.21,247.64,-45.66,4.28,-11.32871866
"1owe",-193.4,2.32,-7.82,-18.01,-0.22,217.18,-41.74,2.59,-8.565616546
"1owh",-240.22,1.74,-8.69,-19.82,-0.22,253.49,-43.05,2.67,-10.22347781
"1oyq",-226.67,2.92,-8.48,-33.41,-0.8,247.28,-54.26,7.19,-9.615595348
"1oyt",-140.3,3.74,-7.86,-36.95,-0.21,145.26,-61.67,7.27,-10.00242964
"1p1n",-95.98,2.35,-13.13,-23.47,0,122.69,-34.51,3.84,-9.394547179
"1p1o",-50.54,12.56,-4.96,-10.7,-0.07,18.02,-28.18,15.18,-7.957734081
"1p28",-21.84,3.16,-0.52,-12.36,0,16.78,-12.75,3,-7.488006722
"1pbk",-56.16,5.8,-3.38,-46.95,0,42.84,-62.04,14.68,-12.50303705
"1pdz",68.62,1.26,-10.84,-1.78,0,-29.45,-17.6,1.13,-5.111738906
"1pfu",-11.96,1.37,-3.63,-26.56,0,15.69,-27.3,1.15,-3.757818872
"1pgp",-198.99,2.66,-12.71,-4.41,0,203.31,-30.56,13.63,-7.874841018
"1pot",-288.06,1.65,-3.72,-34.11,0,257.08,-30.37,1.84,-7.584715296
"1ppc",-302.27,3.21,-8.71,-33.16,-0.13,308.78,-56.4,4.54,-8.510354504
"1pph",-296.2,2.27,-8.31,-30.07,0,315.01,-50.55,9.56,-8.17878225
"1ppk",94.55,1.18,-3.1,-47.1,0,-30.04,-75.08,7.57,-10.58268109
"1ppl",103.2,2.08,-2.55,-50.13,-0.02,-18.45,-82.38,17.85,-11.81226153
"1pro",-40.86,4.87,-3.48,-58.01,-0.06,49.33,-76.48,9.81,-15.61152693
"1ps3",-59.73,3.23,-5.17,-15.39,0,87.43,-38.07,7.03,-3.149936407
"1px4",-28.84,3.12,-2.16,-28.19,0,88.04,-33.07,3.45,-4.46240991
"1pyn",-189.25,2.6,-14.83,-32.06,-0.82,173.09,-61.36,9.23,-7.584715296
"1pzi",-35.48,4.49,-3.43,-14.63,0,28.84,-31.96,10.11,-5.830145455
"1pzo",-6.87,0.25,-0.82,-34.48,-0.21,12.49,-36.02,2.11,-4.586749505
"1pzp",-12.38,0.91,-1.04,-31.05,0,19.47,-38.64,1.41,-4.572933995
"1q1g",-40.65,4.54,-3.6,-40.02,-0.64,41.25,-46.49,4.7,-11.83989255
"1q54",-3.63,10.84,-18.49,-20.79,0,46.24,-33.1,13.04,-8.082073676
"1q91",-105.17,2.39,-10.4,-21.96,-2.04,98.53,-49.62,11.69,-5.733436882
"1q95",-381.51,2.71,-27.95,-11.18,0,366.81,-33.42,7.04,-10.45834149
"1qan",-29.8,2.93,-5.63,-30.63,0,31.59,-69.88,9.7,-6.18934873
"1qb1",-127.76,0.92,-7.81,-29.09,-0.32,170.52,-53.47,14.68,-9.353100648
"1qb6",-346.62,5.45,-9.25,-18.69,-0.27,355.97,-47.95,8.85,-8.372199398
"1qb9",-205.25,2.89,-7.58,-38.57,-0.41,235.29,-56.01,5.08,-10.27873986
"1qbn",-132.04,-0.58,-10.84,-22.86,-1.8,169.04,-56.25,7.46,-8.082073676
"1qbo",-374.48,3.21,-7.67,-35.76,-0.46,390.07,-53.08,6.84,-10.69320517
"1qbq",-130.43,3.15,-11.89,-39.7,0,146.93,-43.43,5.68,-11.46687376
"1qbr",-44.14,-1.05,-4.23,-69.77,0,55.4,-92.87,10.68,-14.60299466
"1qbt",-56.21,0.91,-5.42,-68.03,0,62.35,-98.83,11.61,-14.67207221
"1qbu",-31.83,2.41,-3.56,-65.99,0,45.21,-74.18,10.2,-14.14708281
"1qbv",-106.25,3.17,-0.98,-41.78,-1.52,126.47,-53.04,6.85,-7.446560191
"1qca",13.15,0.56,-1.73,-63.26,0,28.57,-57.62,2.64,-7.280774064
"1qf0",164.91,3.75,-5.99,-37.2,-4.41,-82.22,-62.66,7.14,-10.19584679
"1qf1",158.15,2.27,-7.04,-30.49,-0.58,-84.68,-51.69,5.1,-10.11295373
"1qf2",164.3,2.52,-5.38,-27.54,-1.12,-97.77,-46.46,3.43,-8.17878225
"1qft",-150.48,1.2,-2.27,-12.67,-6.75,155.01,-22.53,1.44,-12.11620276
"1qhc",-166.51,3.73,-18.02,-10.9,-4.58,169.52,-54.63,15.12,-10.45834149
"1qi0",-55.01,1.01,-6.37,-13.03,0,30.13,-22.32,3.45,-3.246644981
"1qin",-2.3,4.06,-7.76,-42.83,-0.14,2.68,-59.97,17.06,-11.05240845
"1qiw",-319.34,1.5,-0.59,-69.74,-0.48,316.56,-58.26,18.08,-10.69320517
"1qji",-17.95,14.66,-2.44,-54.21,-0.14,102.66,-70.35,21.95,-6.700522621
"1qpb",-12.24,0.88,-2.46,-1.87,0,10.09,-13.12,1.57,-1.878909436
"1qxk",-97.76,4.35,-11.9,-30.78,-0.38,90.44,-55.27,14,-6.976832832
"1qy1",-4.48,0.59,-0.17,-32.56,-0.15,7.02,-31.41,0.57,-9.007712884
"1qy2",-5.05,0.67,-0.2,-28.76,-0.1,6.67,-29.1,0.47,-7.93010306
"1r1h",89.73,4.06,-9.57,-42.31,-2.39,-35.43,-56.65,11.68,-12.32343542
"1r1j",248.16,10.63,-7.23,-28.42,-1.07,-176.09,-43.06,14.51,-11.93660112
"1r4w",-78,-0.77,-7.47,-19.02,0,70.4,-41.56,4.32,-5.595281776
"1r6n",18.37,1.34,-2.58,-32.48,-7.01,-10.36,-47.78,9.68,-10.22347781
"1r9l",26.48,1.13,-0.76,-23.26,0,11.6,-27.43,1.46,-7.460375701
"1rbo",-283.68,1.12,-28.77,-6.95,0,273.82,-31.13,8.83,-17.57332943
"1rbp",-10.2,2.7,-0.29,-89.19,0,25.3,-58.54,3.09,-9.284023095
"1rd4",0.61,2.49,0,-52.57,-0.58,16.27,-52.95,9.01,-10.69320517
"1rdi",-31.37,-0.89,-2.34,-4.18,0,37.03,-15.55,5.61,-2.845995175
"1rdj",-38.38,-0.97,-2.73,-3.12,0,39.06,-14.9,7.77,-2.293374753
"1rdl",-49.36,4.28,-2.63,-3.66,0,41.48,-13.22,5.43,-3.094674365
"1rdn",-44.58,-0.3,-2.86,-5.88,0,46.19,-20.56,4.85,-2.542053943
"1rgk",-46.99,3.05,-13.87,-4.08,-4.86,32.53,-31.13,5.93,-5.95448505
"1rgl",-66.02,2.9,-14.4,-3.45,-4.52,41.52,-25.04,2.97,-6.120271177
"1ro6",-11.2,1.25,-0.92,-47.75,-3.42,36.04,-43.32,2.42,-8.92481982
"1rpj",-49.51,-0.31,-8.18,-16.65,0,27.16,-18.4,6.5,-8.952450842
"1rql",81.65,0.12,-4.58,-9.39,0,-42.87,-20.61,0.55,-3.799265403
"1rzx",-108.98,-0.03,-8.62,-46.76,0,89.59,-55.83,11.31,-5.664359329
"1s63",-13.63,4.69,-1.11,-22.1,-1.35,77.28,-43.51,4.14,-12.50303705
"1sb1",-0.79,1.22,-3.7,-56.56,-0.18,85.36,-69.3,16.27,-9.518886774
"1sbg",-37.87,4.94,-2.63,-67.21,-0.76,53.73,-77.15,9.82,-10.69320517
"1sc8",-267.07,5.35,-9.57,-25.63,-0.26,271.99,-49.73,14.83,-10.27873986
"1sdt",-47.51,2.88,-4.55,-78.94,-0.62,60.72,-100.27,13.36,-12.80697829
"1sdu",-47.4,3.03,-4.44,-76.58,-0.45,59.17,-97.62,13.31,-13.91221913
"1sdv",-46.85,3.31,-3.86,-74.36,-0.52,62.93,-98.9,13.8,-12.07475623
"1sgu",-43.42,2.19,-4.36,-68.82,0,59.51,-85.8,12.89,-7.41892917
"1sh9",-41.49,3.86,-2.53,-67.88,0,57.73,-81.49,15.89,-8.330752866
"1siv",-78.93,4.47,-5.25,-58.96,-0.02,70.43,-78.44,10.16,-11.16293253
"1sld",-28.58,-0.85,-2.36,-32.83,-1.05,27.97,-60.93,15.44,-9.076790437
"1sle",-52.06,1.61,-2.17,-24.72,-0.48,40.08,-46.72,20.44,-8.524170014
"1sqo",-196.21,7.78,-7.92,-19.69,-0.92,236.45,-41.15,9.58,-10.30637088
"1sqt",-230.43,3.51,-7.76,-26.82,-0.03,244.9,-44.46,5.54,-8.565616546
"1sr7",-18.5,-0.19,-0.58,-101.63,-0.18,19.51,-79.77,1.47,-13.95366566
"1str",-63.05,-4.56,-4.59,-26.8,-0.47,41.56,-50.77,25.01,-6.589998536
"1sts",-71.12,-2.09,-4.09,-26.28,-0.51,38.39,-48.97,27.88,-6.907755279
"1sw2",18.19,-0.05,-2.37,-19.96,0,-16.51,-27.19,0.3,-9.974798623
"1swr",-76.74,0.77,-7.76,-41.83,0,51.67,-41.28,0.79,-9.560333306
"1syi",-50.89,0.66,-5.01,-28.06,0,21.16,-37.77,3.02,-7.515637744
"1t31",-153.74,1.21,-10.3,-32.54,-5.53,189.06,-66.73,2.87,-11.93660112
"1t32",-232,-0.35,-8.5,-34.11,-4.24,273.4,-72.93,4.08,-10.25110883
"1t5f",-38.79,4.1,-3.16,-8.46,0,59.84,-23.42,3.3,-5.830145455
"1t7j",-9.77,3.02,-3.57,-52.01,-0.02,18.47,-74.07,5.12,-12.01949419
"1ta2",-55.21,2.73,-1.12,-56.88,-0.44,91.46,-68.01,6.27,-11.770815
"1ta6",-85.74,4.81,-1.66,-63.33,0,126.15,-67.31,12.73,-12.61356114
"1tcw",-12.99,7.38,-1.12,-31.79,-0.55,33.53,-49.44,21.54,-8.316937356
"1tcx",-41.69,4.84,-2.77,-69,-0.86,52.8,-76.31,8.41,-9.601779838
"1thz",-145.52,1.7,-10.92,-20.59,-3.24,157.18,-44.6,3.72,-7.114987937
"1tkb",181.11,6.64,-4.72,-45.01,-2.42,-130.98,-62.5,10.17,-11.05240845
"1tlp",143.25,10.05,-5.9,-28.83,-0.93,-92.48,-50.37,16.86,-10.43071047
"1tng",-90.96,0.22,-1.23,-23.33,0,113.03,-25.6,0.18,-4.047944593
"1tnh",-70.05,0.43,-1.5,-14.32,0,109.39,-22.53,0.73,-4.655827058
"1tni",-88.63,1.28,-1.44,-21.07,0,112.66,-24.21,1.97,-5.526204223
"1tnj",-88.7,0.73,-1.3,-17.55,0,119.88,-23.91,0.98,-2.707840069
"1tnk",-87.48,3,-1.23,-19.69,0,122.47,-25.35,4.14,-2.058511073
"1tnl",-87.31,0.32,-1.3,-20.7,0,114.46,-24.69,0.59,-2.597315985
"1tom",-133.35,0.32,-2.08,-48.05,-1.4,157.52,-53.62,2.02,-11.46687376
"1tsl",-27.17,4.13,-1.51,-26.04,-2.64,38.78,-32.95,5.25,-8.496538993
"1tvo",66.57,2.03,-2.01,-22.71,-1.32,-69.29,-46.39,4.86,-9.463624732
"1tx7",-174.89,1.63,-11.25,-12.38,0,167.44,-24.55,3.57,-6.355134857
"1txr",156.44,3.95,-5.17,-33.94,-0.95,8.64,-41.35,11.66,-10.69320517
"1tys",-35.3,2.1,-20.99,-14.86,0,25.21,-39.38,2.88,-7.584715296
"1u1w",-14.57,1.8,-9.1,-14.06,0,13.79,-30.14,2.2,-8.082073676
"1ua4",-7.62,1.71,-11.33,-16.01,-1.32,22.53,-50.67,7.38,-5.830145455
"1ucn",-39.05,2.46,-15,-14.94,-11.19,47.05,-38.45,1.8,-7.211696511
"1ugx",-62.62,1.11,-3.81,-22.29,0,35.39,-33.9,10.29,-8.16496674
"1ui0",-23.38,0.84,-1.52,-6.01,-1.89,5.84,-22.42,1.12,-9.753750454
"1uj5",-75.89,3.83,-15.53,-14.07,0,66.84,-31.2,7.71,-4.21373072
"1ulg",-29.72,1.93,-3.7,-14.23,0,11.79,-14.59,4.55,-5.816329945
