"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","Experimental"
"1jzs",4,107,6,24,7,13,27,34,2,3,15,0,0,0,0,20,-9.118236968
"1k1i",9,135,0,6,70,0,4,64,4,3,14,0,0,0,1,9,-9.090605947
"1k1j",7,143,0,6,71,0,4,69,4,2,22,0,0,0,0,10,-10.43071047
"1k1l",7,134,0,6,70,0,5,60,4,1,16,0,0,0,0,8,-9.532702285
"1k1m",5,136,0,5,73,0,4,59,4,1,18,0,0,0,0,8,-10.22347781
"1k1n",8,146,0,7,68,0,4,75,4,2,17,0,0,0,0,13,-9.422178201
"1k21",7,159,0,41,50,0,14,61,5,2,24,0,0,0,1,11,-11.57739785
"1k22",6,166,0,41,40,0,17,74,5,2,34,0,0,0,0,10,-11.60502887
"1k4h",5,108,0,3,20,26,29,35,3,1,17,0,2,0,0,6,-7.059725895
"1kav",9,139,13,0,11,35,10,79,0,7,32,0,0,0,1,7,-8.040627145
"1kc7",8,102,12,9,3,33,42,11,0,7,5,0,0,0,4,3,-7.626161828
"1kdk",4,87,0,17,2,0,41,31,1,2,22,0,0,0,0,1,-12.50303705
"1kel",5,133,0,0,9,0,107,22,0,5,40,1,3,0,4,10,-10.05769169
"1kjr",9,186,0,0,2,0,192,1,2,2,13,1,0,0,0,14,-8.372199398
"1kmy",4,106,0,0,1,0,86,23,2,1,30,2,1,1,0,3,-7.045910385
"1koj",15,201,7,4,41,76,8,80,3,11,1,0,0,0,2,10,-9.256392074
"1ksn",5,192,0,4,86,0,5,102,3,1,50,0,1,1,0,10,-12.98657992
"1kyv",11,176,0,25,17,58,19,68,4,5,36,1,7,0,0,9,-8.17878225
"1kzk",3,167,0,19,43,0,63,45,3,1,41,0,0,0,0,11,-14.35431547
"1l6m",5,73,0,0,0,0,72,6,0,0,9,0,0,0,1,3,-11.19056355
"1l83",0,23,6,0,0,17,0,0,0,0,19,0,0,0,0,0,-4.69727359
"1lah",11,151,1,6,18,40,42,55,6,4,14,2,0,0,3,6,-10.38926394
"1lbf",13,191,0,12,17,4,96,75,3,9,20,0,0,1,3,12,-10.84517579
"1lee",7,152,0,13,36,0,37,73,3,2,38,0,0,1,0,15,-10.69320517
"1lf2",5,157,0,5,44,0,33,80,3,2,40,0,0,1,0,15,-10.38926394
"1lf9",15,209,0,0,28,48,53,95,7,4,31,0,0,0,1,22,-16.57861267
"1lgt",4,108,0,0,1,0,88,23,2,0,33,1,1,0,0,3,-8.42746144
"1lgw",1,43,7,0,0,36,0,1,1,0,16,0,0,0,0,1,-5.526204223
"1li2",1,34,7,0,0,28,0,0,1,0,17,0,0,0,0,1,-5.581466265
"1li3",0,54,10,0,0,36,0,8,0,0,22,0,0,0,0,1,-5.871591987
"1li6",1,31,9,0,0,23,0,0,0,0,16,0,0,0,0,0,-5.249894012
"1lkk",12,193,0,20,9,52,83,41,1,12,26,1,0,0,5,20,-9.463624732
"1lkl",15,194,0,19,10,52,86,42,1,14,18,1,0,0,5,18,-8.026811634
"1lor",17,181,0,12,9,14,55,108,3,9,10,0,0,0,1,7,-15.27995468
"1lpg",4,201,0,6,70,0,32,97,3,0,64,4,1,0,0,11,-9.795196986
"1lpk",4,203,0,29,58,0,39,81,3,0,43,0,2,2,0,11,-10.43071047
"1lpz",4,163,0,8,62,0,6,91,3,0,47,0,1,2,0,7,-10.49978802
"1lrh",2,47,0,0,0,0,36,13,0,0,22,0,0,1,3,2,-9.422178201
"1lyb",8,170,0,7,52,0,24,95,3,4,18,0,0,0,0,24,-15.77731306
"1lyx",6,85,0,11,20,0,11,49,0,6,1,0,0,0,3,3,-6.272241793
"1lzq",6,194,0,33,49,0,58,60,5,3,39,0,0,0,2,21,-11.59121336
"1m0o",12,173,15,0,19,16,30,105,0,9,26,0,0,0,2,8,-3.191382939
"1m1b",9,89,5,2,1,10,40,40,0,8,1,0,0,0,4,3,-6.43802792
"1m2p",2,97,0,8,6,0,67,18,0,1,26,0,0,0,0,3,-8.441276951
"1m2r",2,95,0,7,12,0,52,26,1,1,31,0,0,0,0,4,-8.92481982
"1m2x",5,71,0,0,3,2,1,70,0,3,13,0,0,0,2,4,-5.733436882
"1m5w",8,138,0,0,5,12,38,91,1,7,5,0,0,0,5,7,-5.899223008
"1m7d",9,123,0,6,43,0,62,21,6,1,14,0,0,0,0,13,-8.607063078
"1m7i",6,151,0,7,57,0,52,41,4,2,16,0,0,0,0,22,-7.460375701
"1m83",21,269,15,38,23,57,71,86,3,15,9,0,0,0,6,11,-4.69727359
"1m9n",16,275,34,18,45,42,25,127,3,13,14,0,0,0,2,6,-9.560333306
"1mai",13,150,0,0,13,0,97,53,0,10,2,0,0,0,7,9,-9.228761053
"1mes",6,169,0,19,38,0,52,66,2,4,41,0,0,0,0,14,-10.63794313
"1met",9,171,0,23,41,0,71,45,3,4,44,0,0,0,0,14,-12.98657992
"1meu",5,163,0,16,37,0,60,55,2,4,35,0,0,0,0,14,-8.42746144
"1mfi",6,101,0,18,0,0,59,30,1,3,29,0,0,1,1,3,-7.722870402
"1mh5",5,123,0,0,10,0,77,41,1,3,46,0,1,0,2,14,-12.72408522
"1mj7",5,127,0,0,10,0,75,47,1,2,44,0,1,0,2,14,-11.53595132
"1mjj",5,141,0,0,12,0,85,49,1,3,48,0,1,1,2,14,-12.07475623
"1mmp",6,87,1,2,42,16,3,29,2,2,17,0,0,0,4,6,-8.386014909
"1mmq",7,112,1,15,38,25,18,22,3,2,13,0,0,0,1,7,-10.38926394
"1moq",10,130,7,7,46,24,9,47,2,9,1,0,0,0,1,7,-4.780166653
"1mq5",1,150,0,40,21,0,37,53,0,1,48,3,1,1,1,6,-12.4339595
"1mrn",8,212,20,3,2,93,26,76,2,3,31,1,3,0,5,20,-6.244610772
"1mrs",8,171,19,6,6,73,23,52,1,3,23,0,1,0,3,8,-5.470942181
"1mrw",3,159,0,20,42,0,54,46,3,1,27,0,0,0,0,10,-13.40104524
"1mrx",4,150,0,13,44,0,48,49,3,1,28,0,0,0,0,10,-10.03006067
"1msm",3,175,0,26,38,0,67,47,3,1,43,0,0,0,0,11,-14.47865506
"1msn",4,167,0,17,42,0,58,54,3,1,37,0,0,0,0,11,-12.5582991
"1mu6",2,116,0,35,23,0,15,45,2,1,32,0,0,0,0,8,-11.57739785
"1mu8",2,128,0,45,20,0,23,42,2,1,36,0,0,0,0,8,-12.4339595
"1n1m",5,96,3,0,0,41,2,55,2,1,19,0,0,0,3,3,-7.874841018
"1n3i",6,141,2,28,0,18,41,58,5,2,21,0,0,1,0,5,-12.28198889
"1n4h",1,54,3,1,7,24,2,18,0,2,14,0,0,0,2,5,-9.049159415
"1n51",9,207,0,0,1,7,66,142,5,2,27,1,2,0,3,10,-6.700522621
"1n8v",1,33,3,0,5,20,0,6,1,0,12,0,0,0,0,12,-8.330752866
"1nc3",11,172,0,29,21,28,54,51,6,2,19,0,0,0,0,6,-6.907755279
"1ndv",3,137,13,0,22,36,33,36,3,0,44,1,2,0,2,5,-8.17878225
"1nf8",7,119,6,0,10,33,32,45,1,6,32,0,0,0,3,5,-10.80372926
"1nfu",1,127,0,33,33,0,24,38,1,1,43,0,0,0,0,7,-10.69320517
"1nfw",1,126,0,29,26,0,23,49,0,1,43,0,2,1,0,5,-12.37869746
"1nfx",1,128,0,31,27,0,24,47,0,1,44,0,2,1,0,7,-11.770815
"1nh0",7,200,0,30,51,0,63,63,4,4,39,0,0,0,1,23,-13.45630728
"1njc",12,143,4,11,0,14,70,56,2,11,4,0,0,0,4,6,-7.66760836
"1njd",12,171,6,10,0,12,74,81,2,9,3,0,0,0,4,5,-7.695239381
"1nl9",18,137,12,0,12,53,9,69,2,7,20,0,0,0,1,12,-8.234044293
"1nli",5,92,1,10,18,42,26,0,3,4,21,0,2,0,0,1,-4.95976829
"1nm6",3,122,0,36,21,0,15,53,2,1,47,0,1,0,0,2,-13.88458811
"1no6",11,115,12,0,10,51,8,45,0,5,28,0,0,0,1,4,-6.092640156
"1nq7",1,57,3,1,7,25,0,22,0,2,24,0,0,0,2,6,-9.394547179
"1nt1",3,121,0,47,17,0,20,40,2,1,37,0,0,0,0,1,-12.28198889
"1nw4",8,134,0,37,3,15,41,46,2,1,16,0,0,1,0,5,-12.53066808
"1nwl",5,82,8,0,14,30,0,35,2,2,13,0,0,0,0,11,-3.301907023
"1nz7",22,169,12,0,14,71,9,85,2,11,30,0,1,0,2,19,-9.836643517
"1o0f",7,141,0,4,0,25,65,54,2,6,11,1,2,0,4,8,-7.322220596
"1o0m",9,98,0,24,0,19,49,15,1,6,5,0,0,0,3,6,-7.114987937
"1o0n",6,89,0,17,0,14,42,22,2,3,5,0,0,0,2,6,-5.650543818
"1o0o",4,94,0,9,0,22,54,13,0,5,7,2,2,0,3,8,-7.045910385
"1o2g",4,120,0,16,39,0,9,60,3,0,25,1,0,1,0,5,-8.455092461
"1o2h",8,151,0,10,64,0,3,82,4,0,19,0,0,0,0,6,-9.90572107
"1o2j",6,141,0,4,60,0,5,78,3,0,23,0,0,0,0,7,-9.560333306
"1o2k",5,141,0,4,61,0,5,76,3,0,20,0,0,0,0,7,-9.560333306
"1o2n",9,161,0,33,43,0,13,81,4,0,30,0,0,0,0,5,-8.41364593
"1o2o",12,161,0,13,61,0,11,88,4,0,26,0,0,0,0,7,-8.786664715
"1o2q",9,162,0,18,54,0,13,86,5,0,27,0,0,0,0,6,-10.61031211
"1o2s",6,117,0,4,54,0,5,60,3,0,16,0,0,0,0,4,-7.557084275
"1o2w",8,137,0,7,56,0,4,78,3,0,16,0,0,0,0,8,-8.082073676
"1o2x",7,140,0,23,39,0,7,78,3,0,19,0,0,0,0,8,-8.082073676
"1o2z",8,157,0,9,64,0,3,89,3,1,23,1,0,1,0,10,-8.441276951
"1o30",10,174,0,10,65,0,3,106,4,1,26,1,0,1,0,9,-9.353100648
"1o33",4,120,0,6,53,0,5,60,3,0,15,0,0,0,0,4,-7.93010306
"1o36",0,7,0,0,3,0,1,3,0,0,0,0,0,0,0,9,-8.234044293
"1o38",6,143,0,6,58,0,6,79,3,0,25,1,0,1,0,8,-9.422178201
"1o3d",7,139,0,10,57,0,5,74,4,0,24,1,0,1,0,5,-9.850459028
"1o3h",4,139,0,4,58,0,4,77,4,0,24,0,0,0,0,4,-10.08532271
"1o3i",4,149,0,8,62,0,5,78,3,0,24,0,0,0,0,4,-10.08532271
"1o3j",6,138,0,6,56,0,4,78,3,0,24,0,0,0,0,4,-9.353100648
"1o3k",5,147,0,7,59,0,5,81,3,0,25,0,0,0,0,4,-9.353100648
"1o7o",10,189,2,23,9,61,10,94,2,8,22,0,1,0,5,8,-6.203164241
"1oar",0,134,0,0,1,0,128,5,0,0,64,0,9,0,1,3,-10.22347781
"1oba",0,31,0,0,3,0,28,0,0,0,15,4,0,0,0,3,-3.370984576
"1ocq",19,155,0,0,20,0,83,71,4,4,9,2,0,0,2,10,-7.17024998
"1od8",9,155,0,0,0,0,47,117,3,3,16,0,0,0,0,6,-7.045910385
"1odj",10,168,0,37,7,0,42,92,1,2,18,0,0,0,0,6,-5.664359329
"1ody",10,206,0,50,47,0,41,78,6,4,38,0,0,0,0,21,-11.19056355
"1oe8",11,130,7,13,7,54,10,50,3,5,8,0,0,0,4,11,-7.626161828
"1ofz",7,76,0,0,0,0,83,0,2,3,10,0,0,0,0,4,-6.382765878
"1ogg",9,154,0,0,15,1,92,55,2,5,25,0,0,0,0,16,-7.17024998
"1ogx",6,60,2,0,0,16,48,0,1,1,15,0,0,2,0,1,-8.41364593
"1ohr",4,121,0,11,34,0,43,37,3,1,25,0,0,0,2,12,-12.01949419
"1oif",12,111,0,0,0,0,42,81,4,2,12,2,0,0,2,4,-10.66557415
"1okl",4,85,0,0,3,6,49,31,0,1,14,0,0,0,1,3,-8.330752866
"1ony",17,177,12,0,13,65,8,96,3,8,24,0,0,0,1,16,-9.353100648
"1onz",9,117,12,0,10,47,9,48,0,5,17,0,0,0,1,5,-7.045910385
"1os0",9,135,0,6,3,31,34,70,2,3,21,1,0,1,6,13,-8.330752866
"1os5",2,90,3,0,10,20,0,59,0,1,31,0,1,0,0,10,-9.463624732
"1oss",3,82,0,7,45,0,4,29,3,0,15,0,0,0,0,2,-6.617629557
"1ow4",1,69,3,0,0,65,0,2,0,2,23,0,0,0,2,3,-7.847209997
"1owd",5,109,0,8,42,0,5,59,3,0,16,0,0,0,1,5,-11.32871866
"1owe",5,106,0,8,42,0,3,58,3,0,17,1,0,0,0,4,-8.565616546
"1owh",6,116,0,6,44,0,5,67,4,0,18,1,0,0,1,7,-10.22347781
"1oyq",5,148,0,28,39,0,24,62,4,0,29,0,0,0,0,13,-9.615595348
"1oyt",5,122,0,31,28,0,13,55,2,1,26,0,0,0,0,5,-10.00242964
"1p1n",9,128,8,11,4,53,37,24,0,6,24,1,0,0,2,4,-9.394547179
"1p1o",11,165,5,25,4,53,64,25,3,7,12,0,0,0,2,4,-7.957734081
"1p28",1,25,0,0,0,26,0,0,0,1,5,0,0,0,0,2,-7.488006722
"1pbk",8,133,0,0,26,13,35,67,3,3,23,0,0,0,0,9,-12.50303705
"1pdz",3,67,0,5,5,0,31,29,0,4,2,0,0,0,7,3,-5.111738906
"1pfu",2,65,4,20,0,10,28,5,2,0,8,0,0,0,1,5,-3.757818872
"1pgp",13,134,0,2,6,89,7,43,0,9,1,0,0,0,5,11,-7.874841018
"1pot",10,170,0,0,6,17,78,79,5,1,30,3,0,0,4,9,-7.584715296
"1ppc",6,135,0,7,67,0,2,65,3,1,26,0,0,0,0,10,-8.510354504
"1pph",6,125,0,5,67,0,5,54,4,2,16,0,0,0,0,8,-8.17878225
"1ppk",5,125,0,3,31,0,28,68,3,3,13,0,0,0,0,18,-10.58268109
"1ppl",5,138,0,3,30,0,30,80,3,2,18,0,0,0,0,13,-11.81226153
"1pro",10,171,0,20,49,0,48,64,3,6,40,0,0,0,0,5,-15.61152693
"1ps3",11,143,0,0,13,6,4,131,7,1,13,0,0,0,0,7,-3.149936407
"1px4",5,88,0,0,2,0,10,81,2,1,11,0,0,0,0,19,-4.46240991
"1pyn",13,208,6,0,14,102,5,94,2,9,25,0,0,0,2,10,-7.584715296
"1pzi",11,120,0,0,12,12,35,72,3,4,16,0,0,0,0,5,-5.830145455
"1pzo",1,73,0,21,2,12,37,2,0,2,25,0,0,0,0,6,-4.586749505
"1pzp",0,45,20,0,0,15,6,4,0,0,24,0,0,0,0,5,-4.572933995
"1q1g",7,141,0,38,3,15,47,45,2,0,27,0,0,1,0,8,-11.83989255
"1q54",8,145,0,18,0,38,68,29,1,5,8,0,0,0,9,3,-8.082073676
"1q91",5,136,3,0,15,21,2,100,0,4,35,1,1,1,2,6,-5.733436882
"1q95",19,183,12,0,2,63,37,88,0,17,9,0,0,0,9,11,-10.45834149
"1qan",7,171,0,19,39,15,37,68,5,3,22,0,0,0,2,10,-6.18934873
"1qb1",5,166,0,6,72,0,5,88,3,1,26,0,0,0,0,9,-9.353100648
"1qb6",5,160,0,22,45,0,40,58,3,2,21,0,0,0,0,7,-8.372199398
"1qb9",6,143,0,5,59,0,6,79,3,0,25,0,0,0,0,9,-10.27873986
"1qbn",3,140,0,19,40,0,24,60,3,2,26,0,0,2,0,8,-8.082073676
"1qbo",4,151,0,5,60,0,5,85,3,0,28,0,0,0,0,9,-10.69320517
"1qbq",3,91,4,0,0,37,22,31,0,3,24,0,0,0,4,14,-11.46687376
"1qbr",10,228,0,48,34,0,88,68,4,6,56,0,0,0,0,14,-14.60299466
"1qbt",12,271,0,49,42,0,126,66,5,6,56,0,0,0,0,12,-14.67207221
"1qbu",6,155,0,16,35,0,59,51,3,4,33,0,0,0,0,9,-14.14708281
"1qbv",3,115,0,45,17,0,15,41,2,1,30,0,0,0,0,8,-7.446560191
"1qca",2,77,0,0,1,20,23,35,1,0,23,0,0,0,1,12,-7.280774064
"1qf0",8,140,2,12,3,23,43,65,2,3,28,1,1,2,1,11,-10.19584679
"1qf1",8,136,2,9,3,21,43,66,2,3,21,1,0,1,1,7,-10.11295373
"1qf2",7,97,0,3,1,16,32,52,0,2,25,0,0,1,0,3,-8.17878225
"1qft",5,96,0,0,0,0,57,44,4,0,19,0,3,1,3,16,-12.11620276
"1qhc",12,217,0,18,4,42,86,79,2,6,17,0,1,0,8,12,-10.45834149
"1qi0",19,127,0,0,0,0,48,98,4,4,12,0,0,0,0,14,-3.246644981
"1qin",10,162,0,0,12,1,110,49,1,5,29,0,0,0,5,19,-11.05240845
"1qiw",1,68,17,0,2,47,0,3,1,0,30,0,0,2,2,20,-10.69320517
"1qji",4,104,0,22,3,18,15,50,1,2,21,0,0,0,4,1,-6.700522621
"1qpb",4,56,0,0,12,13,0,35,1,2,3,0,0,0,0,17,-1.878909436
"1qxk",13,198,9,0,10,95,1,96,3,6,33,0,1,0,1,3,-6.976832832
"1qy1",1,42,0,0,2,0,39,2,0,0,21,0,0,1,0,2,-9.007712884
"1qy2",1,32,0,0,1,0,31,1,0,1,13,0,0,1,0,10,-7.93010306
"1r1h",9,188,2,14,0,96,18,67,2,4,37,1,1,2,7,9,-12.32343542
"1r1j",10,145,0,9,0,66,9,71,2,4,31,2,0,2,3,11,-11.93660112
"1r4w",9,129,0,12,5,48,17,56,3,6,14,0,0,0,4,5,-5.595281776
"1r6n",2,93,2,0,14,36,0,43,0,2,37,0,2,0,0,2,-10.22347781
"1r9l",4,58,7,0,2,28,6,19,0,2,16,4,0,0,1,12,-7.460375701
"1rbo",15,167,0,13,11,2,48,108,1,11,1,0,0,0,7,6,-17.57332943
"1rbp",0,57,0,3,2,0,46,6,0,0,32,0,0,0,0,7,-9.284023095
"1rd4",0,93,1,8,7,25,52,0,0,0,37,0,0,1,0,4,-10.69320517
"1rdi",6,67,0,5,6,0,28,34,1,4,4,0,0,0,0,4,-2.845995175
"1rdj",5,65,0,4,6,0,28,32,1,3,2,0,0,0,0,6,-2.293374753
"1rdl",6,59,0,3,6,0,25,31,0,2,3,0,0,0,0,6,-3.094674365
"1rdn",5,63,0,3,6,0,25,34,0,2,3,0,0,0,0,7,-2.542053943
"1rgk",9,143,0,0,19,0,61,72,0,8,9,1,2,0,3,7,-5.95448505
"1rgl",6,120,0,0,14,0,64,48,0,7,8,1,3,0,3,4,-6.120271177
"1ro6",3,83,3,0,0,61,0,22,0,3,31,0,1,0,0,6,-8.92481982
"1rpj",17,174,0,0,1,61,68,61,5,6,12,0,0,0,0,1,-8.952450842
"1rql",5,62,0,5,11,3,18,30,0,4,5,0,0,0,2,26,-3.799265403
"1rzx",11,102,0,28,9,10,51,15,2,8,15,0,0,0,1,5,-5.664359329
"1s63",1,58,0,0,0,54,2,3,0,1,23,1,0,4,0,10,-12.50303705
"1sb1",1,139,0,25,36,0,14,65,1,1,30,0,0,0,0,15,-9.518886774
"1sbg",4,117,0,11,36,0,31,43,3,1,30,0,0,0,0,13,-10.69320517
"1sc8",12,176,0,14,89,0,18,67,4,2,16,0,0,0,0,14,-10.27873986
"1sdt",9,162,0,24,32,0,39,76,4,2,43,0,0,0,2,14,-12.80697829
"1sdu",7,150,0,19,32,0,37,69,3,2,36,0,0,0,2,14,-13.91221913
"1sdv",8,157,0,21,35,0,43,66,4,1,39,0,0,0,2,14,-12.07475623
"1sgu",7,149,0,17,37,0,40,62,4,2,41,0,0,0,2,19,-7.41892917
"1sh9",5,126,0,17,39,0,39,36,3,1,31,0,0,0,0,19,-8.330752866
"1siv",13,178,0,33,37,0,49,72,7,4,26,0,0,0,2,9,-11.16293253
"1sld",5,133,0,8,1,0,102,27,1,5,36,0,2,1,0,7,-9.076790437
"1sle",1,81,0,0,1,0,62,19,0,1,12,0,0,1,0,4,-8.524170014
"1sqo",7,122,0,8,62,0,1,58,4,0,10,0,0,0,0,5,-10.30637088
"1sqt",9,136,0,9,58,0,2,76,4,0,17,0,0,0,0,6,-8.565616546
"1sr7",1,109,24,0,2,77,0,7,1,1,38,0,0,0,0,22,-13.95366566
"1str",7,135,0,1,0,0,113,28,0,6,17,0,0,1,0,26,-6.589998536
"1sts",6,130,0,1,1,0,108,26,1,5,21,0,0,1,0,2,-6.907755279
"1sw2",3,65,0,4,0,9,29,26,0,3,24,3,0,0,3,5,-9.974798623
"1swr",9,126,0,1,8,0,98,28,2,6,22,0,0,0,1,4,-9.560333306
"1syi",13,183,5,26,3,56,80,26,3,6,25,1,0,0,2,7,-7.515637744
"1t31",6,168,0,21,29,0,31,93,0,4,49,1,2,0,3,7,-11.93660112
"1t32",4,121,1,16,19,0,16,73,0,3,43,1,1,0,2,9,-10.25110883
"1t5f",6,94,0,0,14,13,9,64,3,0,2,0,0,0,5,14,-5.830145455
"1t7j",6,135,0,21,36,0,43,41,3,2,16,0,0,0,0,8,-12.01949419
"1ta2",3,138,0,49,22,0,23,47,2,1,46,0,0,0,0,10,-11.770815
"1ta6",4,130,0,50,25,0,20,39,2,2,38,0,0,0,0,15,-12.61356114
"1tcw",4,101,0,20,8,0,35,42,3,2,22,0,0,0,0,15,-8.316937356
"1tcx",6,117,0,12,40,0,29,42,4,1,32,0,0,0,0,6,-9.601779838
"1thz",6,120,2,0,5,35,16,68,1,3,31,0,2,0,3,9,-7.114987937
"1tkb",10,155,0,0,35,23,4,103,1,7,28,0,1,0,4,14,-11.05240845
"1tlp",10,161,0,15,0,55,62,39,2,3,17,0,0,0,4,2,-10.43071047
"1tng",3,63,0,5,28,0,2,31,2,0,5,0,0,0,1,2,-4.047944593
"1tnh",3,76,0,3,41,0,1,34,3,0,9,0,0,0,1,5,-4.655827058
"1tni",2,80,0,5,39,2,1,35,3,0,10,0,0,0,1,3,-5.526204223
"1tnj",2,72,0,4,42,2,0,26,3,0,7,0,0,0,1,4,-2.707840069
"1tnk",2,78,0,10,39,3,2,26,2,0,9,0,0,0,1,2,-2.058511073
"1tnl",2,87,0,5,47,1,3,33,1,0,12,0,0,0,1,8,-2.597315985
"1tom",5,131,0,7,64,0,0,65,4,1,32,0,0,0,1,4,-11.46687376
"1tsl",2,75,2,0,13,38,0,24,0,0,25,0,1,1,0,3,-8.496538993
"1tvo",4,115,0,23,2,1,76,17,3,2,31,0,0,0,0,3,-9.463624732
"1tx7",5,105,0,9,43,0,6,52,3,2,8,0,0,0,1,10,-6.355134857
"1txr",12,116,0,0,16,3,29,80,3,1,26,0,1,1,3,5,-10.69320517
"1tys",15,178,4,12,0,19,70,88,2,12,6,0,0,0,4,3,-7.584715296
"1u1w",12,133,6,6,20,18,62,33,3,5,11,0,0,0,0,7,-8.082073676
"1ua4",5,105,5,17,16,15,31,26,2,2,6,0,0,0,1,9,-5.830145455
"1ucn",11,163,0,0,12,68,29,65,0,5,28,0,4,0,2,12,-7.211696511
"1ugx",8,124,0,18,20,0,47,47,2,3,18,0,0,0,0,0,-8.16496674
"1ui0",8,92,0,17,7,4,43,29,1,3,18,0,1,0,0,9,-9.753750454
"1uj5",15,178,13,16,30,52,32,50,1,9,5,0,0,0,2,12,-4.21373072
"1ulg",7,91,0,0,0,0,85,13,3,1,9,0,0,0,0,0,-5.816329945
"1upf",2,44,2,4,12,5,20,3,1,1,5,0,0,0,0,14,-6.355134857
"1ur9",12,179,0,0,20,2,92,77,4,6,33,0,0,0,0,12,-7.971549592
"1urg",5,107,0,0,0,19,9,84,3,0,15,0,0,0,0,5,-8.040627145
"1usn",4,101,0,21,2,17,29,36,2,2,22,1,2,0,0,2,-10.69320517
"1utj",3,75,0,2,40,0,2,34,3,0,11,0,0,0,1,4,-5.305156054
"1utl",1,70,0,8,34,0,2,27,1,0,11,0,0,0,1,3,-3.412431108
"1utm",1,60,0,6,21,0,2,32,1,0,5,0,0,0,1,2,-4.158468678
"1utn",3,75,0,2,37,0,2,37,3,0,10,0,0,0,1,3,-4.821613185
"1uto",1,76,0,9,33,0,1,34,1,0,12,0,0,0,1,4,-3.136120897
"1uv6",0,56,0,3,8,0,20,25,0,0,21,3,0,0,0,8,-7.073541406
"1uvt",2,134,0,32,24,0,18,62,1,0,56,0,1,2,0,1,-10.55505007
"1uw6",0,46,0,1,9,0,19,17,0,0,18,3,0,0,0,9,-10.14058475
"1uwf",10,136,0,4,21,0,72,49,4,5,5,0,0,0,0,8,-9.422178201
"1ux7",1,52,0,1,18,0,6,28,0,0,11,0,0,0,0,16,-4.144653167
"1uxa",3,68,0,0,15,0,33,23,2,1,13,0,0,0,1,16,-3.177567428
"1uxb",3,70,0,0,13,0,38,22,2,1,13,0,0,0,1,4,-2.97033477
"1uz4",10,123,0,0,0,0,41,92,3,4,11,0,0,0,0,16,-4.69727359
"1uz8",9,156,0,0,35,0,59,71,4,3,19,0,0,0,0,7,-6.852493237
"1v0k",5,96,0,0,0,0,29,72,1,2,6,0,0,0,2,6,-7.045910385
"1v0l",8,130,0,0,1,0,37,100,3,3,13,0,0,0,2,4,-10.43071047
"1v1j",13,135,0,5,28,8,34,73,3,6,10,0,0,0,1,2,-6.659076089
"1v2j",3,103,0,22,33,0,9,42,3,0,14,0,0,0,0,4,-4.490040931
"1v2k",0,118,0,24,30,0,19,45,0,0,46,0,2,1,0,2,-8.551801035
"1v2l",3,95,0,22,33,0,11,32,3,0,14,0,0,0,0,6,-5.926854029
"1v2n",5,153,0,22,39,0,42,55,3,1,26,0,0,1,0,11,-8.151151229
"1v2q",4,122,0,6,69,0,3,48,3,2,13,0,0,0,0,11,-5.70580586
"1v2r",7,130,0,6,71,0,2,58,3,2,14,0,0,0,0,2,-4.904506248
"1v2s",3,93,0,21,29,0,9,37,3,0,12,0,0,0,0,11,-5.761067903
"1v2t",7,115,0,26,42,0,4,50,3,1,13,0,0,0,0,2,-6.507105473
"1v2u",3,93,0,18,29,0,12,37,3,0,13,0,0,0,0,11,-4.655827058
"1v2w",7,123,0,6,73,0,2,49,3,1,13,0,0,0,0,17,-5.540019734
"1vj9",12,186,0,12,92,0,25,69,5,2,20,1,0,1,0,15,-10.43071047
"1vja",13,197,0,12,94,0,18,86,6,3,20,0,0,0,0,11,-10.63794313
"1vjc",7,121,0,33,21,18,12,44,4,3,10,0,0,0,4,11,-4.94595278
"1vjd",10,194,7,52,25,43,24,53,3,7,10,0,0,0,3,8,-4.890690738
"1vkj",12,184,16,8,29,41,23,79,1,9,18,0,2,0,4,13,-6.700522621
"1vwl",4,108,0,5,3,0,100,4,1,2,21,0,0,1,0,10,-7.778132444
"1vwn",4,161,0,0,4,0,126,35,0,7,44,0,2,1,0,15,-8.040627145
"1vyf",3,57,2,0,0,3,41,14,0,3,11,0,0,0,2,14,-11.121486
"1vyg",3,99,5,2,0,7,64,24,0,3,28,0,0,0,2,11,-11.05240845
"1w0y",5,149,0,12,54,0,5,83,4,0,33,0,0,0,0,10,-8.869557778
"1w1d",11,130,0,2,0,0,139,0,0,9,1,0,0,0,8,16,-9.007712884
"1w1g",11,130,0,2,0,0,139,0,0,9,1,0,0,0,8,8,-10.61031211
"1w3j",9,113,0,0,0,0,42,80,5,2,9,2,0,0,2,16,-8.731402673
"1w3l",23,184,0,0,20,0,74,113,4,5,20,2,0,0,2,6,-8.67614063
"1w4o",7,102,0,24,0,23,44,18,1,6,6,0,0,0,3,5,-7.211696511
"1w4p",6,97,0,15,0,26,41,21,1,6,3,0,0,0,3,5,-6.548552004
"1w4q",8,104,0,20,0,28,44,20,1,5,4,0,0,0,3,17,-7.266958553
"1w5v",7,225,0,23,60,0,53,96,7,2,46,0,0,0,0,17,-11.2596411
"1w5w",10,230,0,22,58,0,50,110,5,2,42,0,0,0,0,17,-12.15764929
"1w5x",10,230,0,23,63,0,50,104,6,2,41,0,0,0,0,17,-11.60502887
