"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy"
"2fai",6,166,9,0,0,144,0,19,2,1,15,0,0,1,0,4,-16.58803418,3.001720456,-1.956593759,-57.89444311,-0.453119016,18.44142469,-40.81289119,3.246900487
"2fdp",17,332,0,7,62,0,110,170,2,3,32,0,0,1,4,15,-91.00137776,4.676059692,-3.646789877,-58.80647499,-0.563127217,80.19810896,-76.55258822,7.444340818
"2flb",31,328,0,27,48,0,42,242,4,0,17,0,0,1,0,5,-176.9269864,8.371672655,-3.249348009,-16.00844772,-1.239408444,207.7221263,-37.91963897,14.16359388
"2g5u",5,91,0,3,0,0,84,9,0,0,8,0,0,0,0,3,-10.78897752,4.467300743,-0.228113707,-23.64241581,0,6.290646491,-18.74076511,4.065920772
"2g8r",14,245,0,12,7,42,97,101,1,5,11,0,0,0,1,6,24.29882911,21.90246228,-3.405353095,-9.856004964,-9.4e-05,-5.896894448,-33.7549712,21.39826956
"2g94",23,459,0,24,67,1,124,266,4,11,35,0,0,0,0,20,-95.31569186,4.39250988,-4.347830922,-61.16056022,0,62.78550007,-86.10760296,25.66602106
"2gss",7,140,0,0,4,46,16,81,0,5,16,0,1,0,1,6,-23.14050441,2.907706809,-3.381094576,-30.48514287,-2.419894757,23.79048922,-27.78944948,2.790054066
"2h3e",33,306,16,0,16,113,41,153,2,14,7,0,0,0,3,7,-147.5352642,5.048909719,-16.1307717,-10.28677992,0,137.0348789,-17.53032932,11.43731738
"2hdq",6,130,0,0,2,0,16,118,0,6,20,0,1,0,2,1,-60.43428273,0.523099874,-10.46652814,-9.9062086,-2.832436433,62.77200656,-13.59780201,0.281624596
"2i0d",14,393,0,12,41,0,97,257,2,7,25,0,0,0,0,15,-10.69793602,8.015245892,-3.144585492,-53.25216098,-0.640948224,8.923455466,-76.2810313,9.660979038
"2j77",18,211,0,0,0,13,88,128,4,3,16,2,0,0,3,5,-28.00108418,-0.545962185,-3.377400176,-19.51541334,0,51.58126608,-18.72464357,8.471183604
"2j78",22,277,0,0,0,0,113,186,4,4,18,0,0,0,0,6,-42.74689338,1.41351997,-4.389806745,-16.97908289,0,35.32768244,-20.80002856,5.626641782
"2qwb",21,219,0,0,0,0,118,122,5,5,7,0,0,0,2,10,66.51716169,6.054781038,-14.49907044,-12.02075201,0,-32.24762567,-27.00574809,15.18820322
"2qwd",23,272,0,0,1,0,141,153,4,5,8,0,0,0,4,9,118.0604637,0.477417853,-14.3684884,-12.54441438,0,-42.23603312,-23.75794494,11.59136603
"2qwe",39,409,0,14,10,0,217,207,6,5,12,0,0,0,14,13,-70.16957052,7.289097176,-8.852096035,-13.43736134,0,116.8815581,-15.18880075,26.91872628
"2rkm",14,266,1,22,25,57,75,100,6,2,14,0,0,0,3,14,-149.3500102,2.583182929,-5.755320383,0,0,141.922561,-44.80329233,4.032735067
"2std",4,173,1,0,0,42,49,85,1,1,22,0,0,1,0,4,-16.94389345,1.633747936,-0.485190075,-63.86504673,-0.969108355,10.53333064,-46.90742387,1.887080184
"2usn",12,183,0,31,3,26,75,60,2,3,20,1,0,0,0,8,-40.31436324,4.455626766,-1.980997683,-25.77509782,-1.474250902,45.56483011,-43.87667581,7.443180562
"3gss",27,456,8,10,9,100,41,315,3,13,37,0,1,0,2,19,-49.52141113,-3.798163818,-7.352202488,-36.55430157,-2.832436433,43.28694861,-43.76979553,16.31428072
"3pce",9,191,0,2,0,4,98,96,1,3,25,0,0,1,0,3,-43.614856,1.635287888,-2.602236556,-18.18974239,-0.52286788,51.41137794,-12.08508109,1.798298961
"3pch",21,192,0,3,0,0,118,92,1,2,21,0,0,0,0,2,-57.09218916,1.758850847,-2.20780494,-23.12346325,-0.465864398,53.9533471,-13.82415675,0.833658568
"3pcj",16,191,0,1,0,3,88,115,0,5,15,0,0,0,0,2,-76.24956798,3.553580725,-3.334615643,-12.35163614,-1.390978565,93.12380028,-6.683476439,6.521667287
"4er2",17,379,0,12,50,6,110,218,6,6,15,0,0,0,1,30,-74.17722853,8.161978517,-4.280169059,-57.11410426,0,66.75775521,-73.40777461,18.38579267
"4tim",19,198,0,20,17,0,53,127,0,10,6,0,0,0,3,5,-112.1813499,3.161664986,-9.72737679,-8.41399106,0,136.0984432,-15.96844229,3.768926515
"4tln",12,126,0,7,0,61,22,48,2,1,1,0,0,0,3,5,-34.51231226,2.800039434,-2.938579346,-15.95437562,0,44.69707016,-21.46285107,3.173311067
"4tmn",15,293,0,17,0,91,78,122,1,6,27,0,0,0,5,14,140.1520461,13.81236028,-5.980175912,-39.85780843,-3.012697481,-60.00861824,-57.87033889,15.12967018
"5er1",9,263,0,14,35,0,96,127,4,2,27,0,0,0,5,19,-21.84704699,8.629371634,-2.139222386,-48.14269223,0,22.05254723,-43.22492793,25.34093539
"6rnt",19,250,0,0,19,0,70,180,1,7,6,1,1,0,3,7,-45.041,2.837,-14.824,-3.733,-6.156,33.524,-20.542,6.33
"6std",5,207,4,0,0,78,60,70,1,1,33,0,0,1,0,4,-8.16134956,2.164086411,-0.412585423,-63.37453183,-1.480919393,3.952274934,-52.85907532,3.646664677
"7cpa",18,295,0,9,0,6,44,254,1,10,14,0,1,0,9,15,-69.76860189,3.890137485,-13.97969055,-38.80603954,-1.184201287,106.3894005,-57.08016614,11.42242421
"8cpa",16,272,0,5,0,7,42,234,2,7,13,0,1,0,9,12,-19.56707527,0.905567058,-13.01325321,-24.7304365,-3.630829123,93.16871078,-46.75997556,9.355606672
