PDB,2.5_contacts,4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi-cation,pi-pi,pi-t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy
1xd1,30,462,0,4,46,40,89,313,6,7,20,0,0,0,2,34,-71.35892881,7.849702604,-7.155307133,-59.69885597,0,78.21822813,-79.56198403,23.5969485
1a30,9,266,0,10,34,0,100,131,4,4,14,0,0,0,1,14,-71.76615007,7.397712319,-2.963222173,-32.00328198,0,77.26767754,-52.36409402,14.00712513
1xgj,12,237,6,32,12,50,25,124,0,8,16,0,0,1,2,6,-57.16087143,2.293762313,-5.528565963,-14.3807319,-0.0102782,47.51052366,-34.76007988,3.594909238
1b39,20,457,0,11,37,12,213,204,3,12,12,0,0,0,7,11,-166.2427555,6.630231333,-14.12768994,-15.70301878,-0.000382655,191.4570879,-41.74862054,7.724528464
1pb9,17,193,0,21,12,1,74,102,3,4,11,1,0,0,1,1,-52.45593868,0.852347962,-3.065601275,-10.39163226,0,24.39647388,-14.48929634,0.712273728
1bxo,17,483,0,3,40,0,139,318,4,9,28,0,0,0,0,10,-28.60604076,2.333649932,-5.428037937,-56.95923104,-0.148669267,2.030262104,-85.16621081,5.705340439
2azr,14,218,8,0,5,49,5,165,0,10,20,0,0,0,3,4,-122.016916,0.559453417,-10.9291714,-20.90849984,-0.973723184,115.4311293,-29.31981512,1.275947127
1j17,2,235,0,37,26,0,60,114,0,2,44,0,1,2,0,4,-90.99680509,-1.276163097,-0.511090059,-43.20280315,-1.371337006,132.8224083,-56.80618334,14.10325822
1zc9,17,239,9,0,10,21,5,211,2,8,12,0,0,0,0,7,-12.92536336,5.472734202,-5.248354377,-12.66750045,-0.124033295,10.22690461,-22.89405056,6.379807
1nvq,8,348,0,14,17,3,215,107,3,2,23,0,0,0,1,5,-101.0158645,2.587442857,-1.834978934,-39.58549393,-2.77E-09,89.28215973,-65.69958944,4.2785287
1k4g,14,296,5,11,18,85,123,68,5,3,21,0,0,0,0,5,-31.20012923,8.804510703,-6.275500701,-27.16461753,-0.366339125,33.07468455,-46.36066149,8.682218338
2j77,13,202,0,0,0,12,76,127,3,3,11,1,0,0,3,5,-41.10150122,0.123953917,-3.227453156,-18.71676595,0,36.78902834,-24.11570614,5.443468805
1avn,8,124,0,0,11,0,34,87,2,1,0,0,0,0,0,3,-26.09283497,0.771472346,-0.932981294,-2.6575336,-1.375479039,19.10886905,-13.79961522,0.97067542
1h23,4,230,10,5,22,60,3,134,1,1,45,3,2,0,0,15,-41.39081365,-2.58341329,-1.535172979,-55.70126711,-2.368072741,75.89208476,-66.75470175,22.55997803
6std,1,197,3,0,0,38,51,106,0,1,29,0,0,1,0,4,-7.137303526,1.10266458,-0.278684503,-62.59243642,-1.865387336,3.905584247,-56.60957649,2.427696645
2bz6,19,412,0,13,49,0,21,348,5,8,28,0,0,0,1,10,-147.6865674,3.195132214,-13.89418661,-27.99853709,-0.140429459,132.9014916,-44.78806024,7.783278278
7cpa,17,339,0,13,0,6,56,281,0,10,34,0,0,0,9,15,-71.77414045,6.751471523,-14.70486963,-38.27434215,-0.909654087,92.54810637,-51.85989069,20.25630463
1vzq,16,409,0,29,40,0,59,297,6,5,35,0,0,1,1,7,-205.0906643,8.117399635,-9.878894011,-34.79533999,-0.219039666,192.5908579,-60.46790839,9.344763859
2d0k,15,356,5,21,1,157,77,110,3,6,22,0,0,0,3,10,-64.62744649,1.524062038,-17.43455711,-22.64607315,-1.184269375,54.06690942,-50.52692943,4.434695815
1a08,25,309,0,13,14,48,135,124,2,13,23,1,0,0,4,19,-278.6503354,4.003848852,-15.70624011,-22.36902013,-0.580755406,241.4155364,-26.7925699,5.498783387
1fkn,40,539,0,14,67,1,157,340,8,16,28,0,0,0,2,30,-84.30259743,7.826669367,-11.89626813,-58.28697246,0,45.38755442,-94.69583,29.47506353
1pbq,12,249,0,8,0,38,100,115,1,8,26,0,2,0,1,2,-44.61901966,5.765568241,-9.918914727,-29.68809216,-4.03034974,25.23248957,-29.48413218,6.956718235
1fh7,20,305,0,0,0,27,76,222,3,5,15,1,0,0,2,7,-134.8702449,2.403603863,-4.587287825,-21.9986647,0,89.27249413,-26.96224227,6.052655597
2gss,10,195,0,0,3,60,24,118,0,6,21,0,1,0,1,6,-37.80824754,0.059860742,-4.848714358,-30.48742458,-1.887455826,28.25235841,-27.48144568,0.958077389
1fh9,21,329,0,0,0,21,115,214,5,7,15,0,0,0,2,8,-177.2326401,5.33510191,-5.437067317,-17.66093637,0,116.0546899,-23.64855457,12.49415865
1fh8,15,234,0,0,0,0,67,182,3,4,9,2,0,0,2,6,-135.5712492,1.745754102,-4.776467933,-21.80673661,0,110.697413,-27.75881082,6.63320334
1l2s,12,183,6,30,7,50,24,78,0,7,13,0,0,1,0,4,-30.28593405,3.593139527,-4.488909064,-15.84609449,-0.451327189,20.62918221,-29.69622471,3.868992479
1lol,25,340,0,13,19,22,137,174,3,14,7,0,0,0,1,6,-40.16739107,4.078252157,-11.91746046,-13.10256139,-0.00043456,31.07448839,-20.70864531,6.204755642
1f4e,6,134,4,0,2,34,1,99,0,5,11,0,0,0,1,3,55.47075941,0.046891749,-3.201757292,-18.36635174,-0.090721263,-42.6752928,-31.27485931,0.764969451
1f4g,24,396,7,7,7,58,41,300,1,18,35,0,0,1,4,12,-57.59734173,5.64208146,-15.74526688,-32.20086332,-0.611348388,29.88232691,-55.6831792,10.3234293
1f4f,22,329,5,0,7,82,1,256,0,14,35,0,0,1,4,9,20.67207508,4.83575828,-13.1911294,-29.49381063,-0.802885706,-27.01436587,-42.80253817,5.117439306
2ctc,7,182,0,0,0,9,36,144,0,3,15,0,0,0,5,4,-3.268180358,4.548041237,-9.12134075,-20.55438509,-0.186282762,22.8555523,-15.9919037,8.023368232
1syh,18,298,5,24,4,69,119,95,3,9,23,1,0,0,2,4,-53.60263983,1.013789887,-5.453327934,-26.63288041,-0.003049692,17.41754169,-40.35747589,2.450609156
1m0q,19,282,12,0,8,22,25,234,0,12,16,0,0,0,2,7,-154.5201891,14.2523636,-16.80428488,-14.45159327,-0.168546051,155.960781,-24.15553429,14.69017015
1nhu,5,185,3,0,15,109,2,61,0,2,21,0,0,0,0,8,-103.0409939,4.231214708,-1.912388267,-47.75391857,-2.007520252,99.85021912,-37.56852111,10.23236362
1m0n,15,275,8,0,11,28,35,208,0,12,16,0,0,0,1,7,-175.7934234,6.912118862,-15.22432577,-18.54045139,-0.112585706,189.9496876,-42.35824251,7.256124828
1trd,15,217,0,25,20,0,72,115,1,10,3,0,0,0,2,4,-134.4823814,1.986836007,-10.58542294,-3.86053508,0,118.4223711,-10.51964716,1.946024119
2c02,24,316,0,4,2,106,102,126,3,12,8,0,1,0,6,9,-145.6908311,7.486602832,-14.42585038,-11.36024159,-1.928674219,127.9578092,-23.00751941,12.21078113
1n2v,15,222,0,8,6,37,79,107,3,3,17,0,0,0,0,3,-52.4682961,1.567023055,-3.044750152,-17.41133458,0,33.20823083,-30.90720234,1.738074776
