PDB,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,Experimental
1hbv,10,306,0,14,45,0,94,163,6,3,36,0,0,0,4,15,-38.74275954,3.188926932,-3.69094945,-60.61213516,-0.487187458,22.324523,-67.70774179,26.50588957,-8.800480225
1heg,14,332,0,29,40,0,102,175,6,3,25,0,0,0,2,16,-65.44724139,7.472627412,-5.004826033,-60.74505234,-0.200941911,50.70595588,-77.34116036,10.39401857,-10.69320517
1hi3,11,160,0,10,1,33,70,57,0,7,6,1,2,0,5,8,-244.329886,3.432875812,-19.31457621,-2.337769505,-4.451328635,217.6591444,-20.51978606,5.204413119,-5.788698924
1hi5,7,193,0,6,7,33,87,67,1,5,7,0,0,0,5,9,-146.8440954,2.834112845,-15.30445518,-3.433897413,-0.756091078,135.7419504,-28.17341419,11.23084471,-5.581466265
1hih,10,293,0,12,50,0,82,159,4,2,29,0,0,0,2,16,-65.39566367,4.286392414,-3.040910039,-67.31880717,-0.115815183,56.56422601,-84.41319221,15.22056913,-11.121486
1hii,9,309,0,18,46,0,94,160,4,2,34,0,0,0,2,16,-64.57248478,4.470802595,-3.172997614,-74.89987914,0,60.43819699,-85.46039761,15.13570881,-10.05769169
1hlk,9,208,0,1,6,10,27,173,1,2,24,0,0,0,5,4,102.8846632,6.134439109,-4.308994168,-21.71725746,-1.422260683,-52.94415238,-37.93141635,12.54301688,-6.907755279
1hmr,4,183,1,7,1,46,103,29,0,3,20,0,0,0,2,16,-47.9794194,-0.221550867,-5.832428443,-58.27287382,0,39.30184772,-45.29360162,7.548485725,-9.049159416
1hms,4,180,0,8,4,37,96,39,0,3,27,0,0,0,1,15,-45.98602598,0.328173961,-5.776486473,-54.70385145,0,40.00025069,-43.69062514,9.808806466,-8.800480225
1hmt,4,184,1,8,1,34,109,35,0,3,27,0,0,0,1,16,-51.23590401,0.711964305,-5.763441761,-56.85497465,0,42.99345567,-46.62220687,6.312793243,-7.999180613
1hn2,1,156,0,3,0,0,140,14,0,0,19,1,2,4,0,1,-4.870821914,2.063822891,0,-28.97734504,-6.739175457,17.64953043,-37.87711568,1.442995363,-8.289306335
1hnn,6,205,10,0,2,98,35,66,1,1,36,1,1,0,2,2,17.01134471,1.154120706,-1.765094871,-24.35481536,-4.452273749,1.34685812,-35.91317308,1.036047788,-8.620878588
1hos,6,335,0,17,39,0,92,193,3,3,44,0,0,0,0,20,-13.50001789,6.718976,-1.774080143,-64.87581372,-0.964271684,58.48538368,-91.99222499,18.92395954,-11.81226153
1hpo,3,261,0,15,24,0,61,164,1,5,26,1,0,0,0,7,-13.69811314,4.728743214,-2.886199414,-49.86877898,-2.771913747,13.40114578,-66.0631704,7.646383011,-12.73790073
1hps,8,315,0,19,39,0,94,171,2,2,30,0,0,0,0,18,-46.13378811,5.811768201,-2.707587862,-72.7387653,-1.987931374,50.10382645,-83.07399587,10.06916718,-12.73790073
1hpv,10,334,0,17,35,0,149,143,3,3,27,0,0,0,0,14,-11.18466644,2.674557488,-3.386301989,-62.32278333,-0.413769006,15.5785359,-73.39188926,9.113053545,-12.73790073
1hpx,4,294,0,12,42,0,84,160,2,1,27,0,0,0,0,15,-40.29588092,-2.70698025,-2.359121842,-72.79113851,-0.221013562,39.97167078,-82.65179431,12.65583275,-15.55626489
1hsh,7,336,0,20,28,0,110,185,2,2,39,0,0,0,2,14,-50.97871216,2.453018048,-4.188084729,-76.62315518,-0.620832498,53.83002944,-90.76187935,12.05848591,-13.01421095
1hvh,7,390,0,13,47,0,139,198,3,1,41,0,0,0,0,15,10.20612343,5.018104182,-3.662667223,-62.38191339,-0.000502257,-12.07168298,-73.50075259,13.14075417,-10.9971464
1hvi,11,443,0,23,57,0,114,260,4,2,57,2,0,0,0,21,-43.55649719,3.212487777,-3.661674398,-81.52495675,-4.823142014,62.8682755,-106.7640132,24.20741808,-15.08653753
1hvj,10,414,0,19,62,0,91,252,3,2,61,1,0,0,0,20,-58.15443996,7.697751345,-2.891377729,-82.52130054,-4.997070624,65.79943414,-102.2821465,13.16974441,-15.74968204
1hvk,14,461,0,19,62,0,116,278,6,2,55,2,0,0,0,21,-54.86991259,4.516229793,-4.229873571,-82.97978394,-4.45380939,66.53860956,-104.8425616,10.65058788,-15.14179957
1hvl,14,424,0,17,67,0,99,255,4,2,58,1,0,0,0,21,-63.34561314,9.913871361,-4.054831955,-80.16928861,-4.960441048,66.31862069,-100.4004642,14.20612098,-13.74643301
1hvr,7,425,0,11,43,0,139,239,2,2,57,0,0,0,0,10,-32.67532317,6.297465697,-2.545387189,-73.89229394,-1.580741198,43.49081808,-85.55758809,17.50327039,-13.13855054
1hvs,12,431,0,28,71,0,109,235,5,3,55,1,0,0,0,21,-36.24968794,5.833991209,-3.289944834,-74.69072691,-4.206631414,64.07690577,-106.1827907,26.41589079,-14.22997587
1hwr,3,256,0,3,40,0,69,147,2,2,44,0,0,0,0,10,-24.45809642,1.96577636,-2.565681465,-53.27606688,-1.00E-11,37.46535336,-56.59773371,4.0631855,-11.50832029
1hxb,12,388,0,21,42,0,145,192,3,2,40,0,0,0,2,14,-38.26450024,4.410673835,-4.955572599,-72.88491265,-0.119593267,52.86618194,-94.77897332,15.59140339,-13.70498647
1hxw,10,384,0,28,43,0,102,221,4,2,49,1,0,0,0,19,-57.46133433,5.169218496,-3.119675046,-76.2108275,-2.479604669,56.49604098,-98.87326283,13.29788151,-14.94838242
1hyo,11,136,0,15,7,36,42,47,0,5,13,0,0,0,4,4,-25.22659723,-0.151275343,-9.302352213,-11.03454955,0,66.62407973,-18.56461918,3.434146171,-5.622912797
1i00,1,142,1,1,7,23,19,92,0,2,19,0,0,1,1,9,-57.97643337,-0.516114174,-4.846114887,-28.92102942,-0.222826985,78.14316272,-49.88122814,0.787783881,-8.759033694
1i5r,14,490,0,6,66,104,30,298,2,5,46,0,0,0,0,18,-98.59295165,9.924367505,-6.743969261,-90.89896743,-1.002904952,43.76119733,-99.04680087,20.56888227,-11.770815
1i7z,2,175,0,6,8,0,89,74,0,1,31,1,0,0,1,5,-17.50782833,1.275975379,-0.575538367,-47.10183413,-0.093586865,33.54050972,-52.90487385,1.815260483,-8.841926757
1i80,7,165,0,34,0,7,69,62,3,2,22,0,0,0,0,0,-30.48466786,0.111592892,-1.828817688,-10.25177498,-0.572425976,14.08512151,-26.17121935,0.213985338,-8.855742268
1i9l,7,221,0,0,27,16,43,142,3,1,22,0,0,0,1,5,-2.143643223,-1.022362217,-2.445591036,-19.46574803,-0.735164647,-7.299252593,-28.88443738,2.246286032,-11.71555295
1i9m,8,221,0,0,12,23,90,104,2,1,14,0,0,0,0,5,3.188527025,3.526375824,-1.81642026,-19.70309712,-0.907087625,0.631641149,-31.57172801,6.682935033,-11.71555295
1i9n,11,202,0,0,19,13,40,141,3,1,17,0,0,0,0,5,-11.0905371,1.782373605,-2.180712246,-17.35910581,-0.000410652,-1.655570488,-24.46557364,5.050472107,-11.96423214
1i9o,8,211,0,0,20,11,44,144,3,1,14,0,0,0,0,5,-12.8946521,2.942980235,-2.41394388,-17.40514426,-0.000957228,1.776200514,-23.3174213,9.792117548,-11.63265989
1i9p,11,163,4,0,20,22,23,105,2,1,5,0,0,0,1,5,-8.953484674,4.1786968,-2.448516111,-13.12455126,-0.07188836,3.227679319,-24.51975068,5.923050331,-11.61884438
1i9q,7,213,0,0,26,18,37,139,3,1,16,0,0,0,1,5,-14.64660948,0.278297569,-2.496646472,-18.49238023,-0.625846626,-2.25886087,-28.93759517,2.707665567,-11.61884438
1if8,9,207,0,0,17,22,43,134,2,1,19,0,0,0,0,7,1.640253493,5.324553328,-1.920037341,-28.53404002,-0.389094418,-10.12630898,-34.60378404,5.724876166,-13.31815218
1igj,3,207,0,0,16,0,114,80,1,0,25,0,0,0,0,7,-16.153683,4.72392594,-0.452484388,-69.8158969,0,27.5941495,-52.21014032,5.743818973,-13.81551056
1iih,10,190,0,22,22,0,63,93,0,7,4,0,0,0,3,5,-202.1364952,1.756794766,-12.95333222,-8.46200167,0,202.0620998,-1.314323982,3.955756353,-3.992682551
1iiq,15,426,0,35,42,0,191,173,6,3,37,0,0,0,2,22,-65.04562737,-12.98135826,-8.428454564,-63.62839228,-0.241396064,63.94860814,-94.52969963,16.253666,-10.3340019
1ik4,20,229,9,8,11,101,71,49,1,11,3,0,0,0,3,4,-89.21710433,3.866253931,-14.21588566,-4.38507079,0,79.95368627,-4.877387915,4.405381383,-10.23729332
1ikt,3,233,18,0,0,178,40,0,0,1,45,0,0,0,0,13,-10.79514973,2.513758815,-0.247909382,-71.84867593,-0.110300833,12.17341328,-60.36120978,4.27790225,-4.69727359
1izh,14,402,0,34,50,0,158,174,5,3,37,0,0,0,0,21,-70.09470474,2.827557362,-6.851250144,-69.82838321,-0.738942263,60.34274436,-90.80553283,12.69899812,-10.63794313
1izi,13,406,0,37,58,0,146,178,6,2,34,0,0,0,0,21,-56.97636432,2.129419913,-7.347784322,-66.55028433,-0.791523074,54.96140189,-90.0768077,12.28391395,-9.104421458
1j01,9,228,0,0,0,0,61,176,1,4,18,0,0,0,0,6,-49.09467517,0.969122743,-3.863097145,-19.14592227,0,41.48578921,-32.46446702,3.53021711,-8.938635331
1j14,4,151,0,8,50,0,25,72,3,0,14,0,0,0,0,2,-309.9419531,1.268664015,-7.38832482,-11.87808649,-0.19227592,319.0375222,-24.4001768,1.833040281,-6.203164241
1j4r,2,239,0,0,23,10,78,130,0,2,40,0,0,0,0,16,-13.46772647,1.419573429,-0.482621933,-48.84744139,-2.778130662,11.11044383,-57.43647105,4.054320383,-10.66557415
1jak,10,192,0,0,0,0,38,164,4,3,28,2,0,0,1,5,-50.03066117,2.746927977,-4.395574393,-21.78576039,0,39.79378192,-27.05426622,5.105154934,-7.695239381
1jao,8,190,4,3,36,46,30,79,2,3,27,0,1,0,0,8,70.63436083,6.530184915,-2.695931677,-25.84796811,-0.48284426,-27.3485832,-34.74636309,16.83378995,-8.17878225
1jet,24,387,2,41,39,79,153,97,9,4,28,0,0,0,1,16,-182.2972989,3.033791752,-7.582869297,-8.17546977,0,162.2694335,-54.82732613,6.313732386,-10.01624515
1jeu,27,427,2,56,29,103,190,74,9,7,31,0,0,0,2,19,-112.8349807,5.580219622,-13.83740997,-11.58891053,0,99.82558779,-59.97526401,10.06932036,-9.422178201
1jev,30,487,3,40,47,116,185,126,11,4,44,2,0,3,1,18,-200.5029045,5.925417554,-9.060960475,-22.875461,-1.215447559,195.248357,-71.28746017,7.184479093,-9.518886774
1jfh,6,167,0,0,13,0,0,160,3,1,15,0,0,0,0,12,-47.06419874,0.741163452,-1.949905049,-32.46418521,0,35.13225263,-32.03982431,8.120417674,-2.832179664
1jlr,21,341,5,8,16,123,147,63,1,11,13,0,2,0,9,11,-198.0266692,11.23796176,-21.06530795,-9.894547889,-4.339451627,175.5100295,-42.58208781,12.66795578,-4.600565016
1jmf,9,224,0,10,0,5,77,141,1,7,7,0,0,0,4,5,-3.311394611,2.223737011,-15.65758817,-13.25344032,-0.026154901,8.173550997,-34.12132028,5.731478479,-7.971549592
1jmg,15,223,7,9,0,12,87,123,1,8,6,0,0,0,4,5,-23.21700012,2.765251584,-18.16435981,-11.97663866,-0.705673172,3.773383694,-25.06639571,3.806078843,-8.386014909
1jmi,16,243,6,9,0,12,89,143,2,9,5,0,0,0,4,5,-35.21865911,2.138812161,-18.46070724,-13.23917334,-0.021285862,26.39834217,-36.94261624,3.074749933,-8.372199398
1jn2,1,104,0,2,5,0,9,89,0,1,7,1,0,0,0,7,26.98916217,1.795840025,-3.718574139,-13.60708646,-0.372401019,-22.50808368,-20.37181521,5.801686363,-5.650543818
1jn4,16,349,0,22,4,40,188,111,2,6,19,1,1,0,5,14,-174.1901266,7.379497262,-15.85275853,-13.50874854,-5.350707064,130.0667243,-51.46745845,13.62324202,-6.838677726
1joc,13,158,0,15,0,0,99,57,1,6,0,0,0,0,4,8,-194.9368179,3.541627037,-18.70486862,-10.43025279,0,178.7093497,-3.369324551,12.36504629,-6.382765878
1jq8,10,307,33,0,24,134,0,126,2,2,31,0,0,0,0,19,33.88502165,6.668758337,-1.270427492,-47.93825089,-3.74E-06,12.75733775,-60.09820134,17.7753228,-8.289306335
1jqe,0,153,5,0,1,93,1,53,0,0,40,2,4,0,1,9,-14.51517342,0.942628099,-0.938161429,-51.69436411,-8.524960681,44.26928595,-56.72676654,2.915300245,-8.897188799
1jqy,13,255,1,0,31,14,60,162,4,6,26,0,0,0,0,13,-44.51031783,5.395083117,-4.067953804,-18.66766628,-0.003502171,32.56790764,-46.900368,18.82622843,-6.797231195
1jyq,20,448,0,36,23,101,186,122,3,15,33,2,0,0,4,20,-327.934773,6.525467914,-30.55726637,-25.81276509,-4.025936444,275.839751,-27.45426138,15.35557372,-12.01949419
1jzs,9,255,4,34,11,58,81,76,2,2,26,0,0,0,1,20,-11.79661178,5.178058957,-5.092466852,-62.88165725,0,23.90267924,-70.90272429,12.20612745,-9.118236968
1k1i,11,251,0,41,52,0,53,116,4,3,25,0,0,0,1,9,-221.6364963,5.30205476,-12.07676069,-28.18050523,-1.00E-10,214.3785884,-43.0266899,9.814846765,-9.090605947
1k1j,10,247,0,37,48,0,59,113,4,2,23,0,0,0,0,10,-296.9831827,3.467826869,-8.064971471,-36.5653951,-0.062646908,306.5299491,-51.55030812,9.054361357,-10.43071047
1k1l,10,238,0,10,75,0,17,146,4,1,18,1,0,0,0,8,-407.1538178,3.472316011,-8.370771765,-32.2700622,-0.01621715,411.8200997,-48.70532222,10.24917367,-9.532702285
1k1m,9,244,0,8,76,0,17,152,4,1,23,0,0,0,0,8,-307.4136125,4.744239202,-8.496811861,-32.66611085,-0.004382986,313.4993017,-51.01558117,11.77931259,-10.22347781
1k1n,11,246,0,40,48,0,58,111,5,3,22,0,0,0,0,13,-195.0514963,5.266105243,-10.60726486,-32.6167812,-0.006216459,196.8632503,-50.27866671,8.894237693,-9.422178201
1k4h,11,270,0,7,18,80,111,65,3,2,31,0,2,0,0,6,-31.36962478,2.795091437,-6.791057959,-33.33851825,-3.988352892,28.30731448,-46.09226285,3.897519638,-7.059725895
1kav,15,252,10,2,20,41,16,178,0,9,30,0,0,0,1,7,-179.080942,1.059846422,-10.41631888,-34.70757025,-0.629184749,180.8364588,-31.55635272,1.547485805,-8.040627145
1kc7,10,158,13,9,3,44,82,17,0,8,8,0,0,0,4,3,95.63422177,1.737077559,-9.498224319,-3.77489518,0,-55.6469716,-15.65122002,2.697424261,-7.626161828
1kdk,4,186,0,19,5,0,118,48,2,2,28,0,0,0,0,1,-22.59591399,0.65284011,-1.938027009,-71.74139845,0,12.04089607,-53.34112074,0.938118063,-12.50303706
1kel,10,234,0,0,8,0,167,69,0,9,44,1,2,0,4,10,-133.6082464,1.251865679,-13.87414179,-24.80062841,-5.372216135,126.6686977,-40.38648269,5.104568731,-10.05769169
1kjr,10,225,0,0,1,0,233,1,3,2,14,1,0,0,0,14,-60.05746677,-0.246364205,-7.040192631,-21.24261103,-1.971067538,22.29243189,-37.472269,9.520656964,-8.372199398
1kmy,6,181,0,0,0,0,151,36,1,1,30,2,1,1,0,3,-28.62404444,3.192465172,-1.870942362,-20.4728785,-3.304281681,11.06046267,-28.35064146,2.123698329,-7.045910385
1koj,23,304,0,7,58,80,14,168,2,14,2,0,0,0,2,10,-182.7441793,4.446427636,-13.89747701,-12.06511027,0,153.4606828,-10.22625175,7.699515224,-9.256392074
1ksn,7,285,0,7,82,0,25,178,3,1,42,0,2,0,0,10,-208.3691641,3.486314338,-8.101259037,-40.46789916,-2.09587391,237.8066955,-55.16378712,9.724799637,-12.98657992
1kyv,13,312,0,32,9,86,61,137,4,3,38,1,5,0,0,9,39.69515491,-3.468986303,-3.591839923,-29.00825349,-11.75444039,-40.27697419,-57.62797788,12.93831606,-8.17878225
1kzk,6,387,0,15,48,0,154,176,3,1,41,0,0,0,0,11,-38.57783209,0.835307208,-3.133748557,-75.98035635,-0.679794843,41.28354427,-95.59102744,5.405245243,-14.35431547
1l83,0,103,6,0,0,91,0,6,0,0,24,0,0,0,0,0,-1.330671117,-0.0009283,0,-21.06230017,-5.72E-08,2.738306381,-20.00700409,0.042421955,-4.69727359
1laf,21,342,3,31,18,45,138,128,7,4,23,0,0,0,1,6,-100.1092263,1.375138118,-5.971102108,-22.83141889,0,52.0789403,-25.06496728,1.419698487,-10.84517579
1lag,11,212,3,18,14,45,73,70,4,4,16,2,0,0,0,4,-13.79431693,1.226674903,-4.355353487,-12.42223369,-0.506382476,1.586726437,-19.18239558,1.625760934,-8.703771652
1lah,14,244,1,19,13,47,82,96,6,4,16,1,0,0,3,6,-74.78644259,2.384875864,-5.418140948,-17.19526698,0,44.53180464,-22.03030305,2.230704916,-10.38926394
1lbf,14,356,0,15,22,9,164,160,1,9,24,0,0,1,3,12,-68.22503957,2.823916744,-19.0742512,-26.27858459,-0.563226569,48.23704178,-16.69660983,7.930027357,-10.84517579
1lee,6,324,0,12,33,0,121,164,2,3,33,0,0,0,0,15,-40.32344788,2.179765156,-2.152745374,-59.67150504,-0.725922535,57.64067689,-72.12110201,4.966137051,-10.69320517
1lf2,8,334,0,5,43,0,117,177,3,2,45,0,0,0,0,15,-41.35356334,3.68007109,-2.414615433,-59.28859151,-0.852118702,59.7264188,-69.02139046,9.752186918,-10.38926394
1lf9,15,315,0,0,25,64,47,194,4,4,29,0,0,0,1,22,-85.69055357,8.857364949,-6.938745618,-44.86165538,0,69.65127033,-50.36437736,19.93072516,-16.57861267
1lgt,7,194,0,0,1,0,162,38,0,3,35,1,1,1,0,3,-26.21232386,2.416471739,-1.591460433,-26.51588502,-2.611413626,22.54810222,-34.09760437,3.366179344,-8.42746144
1lgw,9,167,7,0,0,162,0,7,1,0,19,0,0,0,0,1,-6.042021058,-0.022784569,-0.745356308,-20.05679597,-1.30E-08,3.824568673,-21.12683004,0.507082215,-5.526204223
1li2,2,137,8,0,0,128,0,3,1,0,22,0,0,0,0,1,-15.02279435,0.375230399,-0.474887123,-19.93110335,-1.93E-08,5.950418534,-19.66361336,0.341142089,-5.581466265
1li3,7,151,16,0,0,139,0,3,1,1,30,0,0,0,0,1,-10.72061359,1.091218517,-0.458615614,-29.9826689,-1.35E-07,4.868770717,-20.84070355,1.214526315,-5.871591987
1li6,2,106,8,0,0,98,0,2,1,0,17,0,0,0,0,0,-7.952407955,0.27123236,-0.236064298,-19.71737983,-6.70E-05,6.210897897,-17.81395555,0.203979615,-5.249894012
1lkk,18,323,0,21,12,66,163,79,1,11,35,1,0,0,5,20,-388.2313796,2.004305301,-26.76580714,-31.10764379,-0.24385122,330.272104,-35.52627396,14.48055196,-9.463624732
1lkl,25,314,0,19,14,62,173,71,1,15,22,1,0,0,4,18,-400.6642336,2.029948548,-29.48064677,-14.68287668,-0.426240767,333.4498502,-27.7571459,8.514509084,-8.026811634
1lor,22,320,0,12,11,18,117,184,4,9,12,0,0,0,1,7,-21.44649659,5.306347977,-15.81377388,-17.09355235,-1.00E-11,6.776444973,-16.14030167,7.044220919,-15.27995468
1lpg,6,313,0,12,75,0,73,159,3,0,61,4,1,0,0,11,-251.7170668,2.807666848,-6.463672461,-47.60484817,-5.266620644,296.3940432,-64.862909,5.507381372,-9.795196986
1lpk,13,326,0,12,91,0,33,203,5,0,39,0,1,1,0,11,-268.2900163,7.044455834,-8.136467892,-37.03175097,-2.53381491,298.1796791,-53.75305538,12.77554767,-10.43071047
1lpz,7,258,0,11,61,0,37,156,3,0,50,0,2,2,0,7,-163.8367555,0.425846636,-6.405544559,-47.41805064,-5.23753149,209.6602087,-58.49475592,5.25875955,-10.49978802
1lyb,13,345,0,13,53,0,120,172,3,2,26,0,0,0,0,24,37.02884097,1.354692609,-2.855706221,-79.56625158,0,-8.063981183,-89.88516192,15.85766124,-15.77731306
1lyx,11,159,0,15,19,0,38,98,0,7,3,0,0,0,3,3,-101.6137944,3.060984221,-12.18395306,-4.26550667,0,105.1385596,-0.909254724,2.738553035,-6.272241793
1lzq,11,381,0,33,44,0,118,197,4,5,35,0,0,0,2,21,-54.02373778,3.549843917,-5.865828643,-67.86332685,-0.604533478,68.32186773,-90.61080125,16.50986902,-11.59121336
1m0o,14,258,14,0,13,27,31,187,0,8,23,0,0,0,2,8,-206.9049784,10.26065341,-17.64867823,-22.65512691,-0.037046664,218.6673272,-36.31011171,9.121339079,-3.191382939
1m1b,11,143,8,3,1,22,67,53,0,9,3,0,0,0,5,3,40.34983057,1.363619614,-9.163637342,-3.98015425,0,6.957579194,-27.00498239,2.786180421,-6.43802792
1m2p,4,221,0,4,16,2,162,41,0,1,28,0,0,0,0,3,-16.02721948,0.79777285,-2.527350316,-24.62646688,-0.096046173,0.522670467,-41.65820519,2.101440231,-8.441276951
1m2r,8,288,0,18,4,0,252,22,0,1,26,0,0,0,0,4,-10.73778137,1.23992537,-0.654108141,-29.19419478,-0.654073993,11.06766519,-39.74839403,1.791900431,-8.92481982
1m2x,6,84,0,0,9,2,0,79,0,2,12,0,0,0,2,4,10.87710723,2.493792095,-5.603204844,-15.30835814,0,12.08973034,-19.69677467,5.11276731,-5.733436882
1m5w,15,195,0,0,2,60,78,70,0,8,7,0,0,0,4,7,-56.29098663,4.407755449,-15.41840076,-13.70806041,0,65.79972878,-22.68065287,5.332005475,-5.899223008
1m9n,20,390,32,23,43,66,40,206,4,15,10,1,0,0,2,6,-158.6153977,4.384353147,-13.28354538,-15.33988693,-0.000333775,115.228321,-45.72463386,8.521655508,-9.560333306
1mai,17,261,0,0,18,0,153,107,0,13,5,0,0,0,7,9,-401.3983295,4.823265697,-34.93636926,-5.274313223,0,369.2187074,-7.07536499,0.813667351,-9.228761053
1mes,10,356,0,14,49,0,99,204,2,4,36,0,0,0,0,14,-39.88883183,5.429471914,-3.487623858,-60.07537023,-0.000198728,44.65827186,-68.9735528,17.05864757,-10.63794313
1met,12,393,0,17,48,0,136,204,3,3,50,0,0,1,0,14,-39.64261704,4.705740339,-4.187146994,-63.15109414,-0.446340713,47.4099354,-75.10069481,15.75701799,-12.98657992
1meu,10,366,0,18,36,0,141,181,2,5,38,0,0,0,0,14,-37.4300338,4.471913858,-3.481119586,-61.78386472,-0.802972358,42.90402505,-73.84062413,17.36035369,-8.42746144
1mfi,6,221,0,23,0,0,136,68,1,2,35,0,0,1,1,3,-63.03258058,1.863305171,-3.910865938,-30.17626137,-0.232344002,49.40525779,-30.05673473,2.171952782,-7.722870402
1mmq,10,239,1,15,48,39,73,73,3,2,20,0,0,0,1,7,-36.05785832,3.556675399,-1.576270853,-37.65109819,-0.097939488,49.70956134,-48.79631117,6.370171376,-10.38926394
1moq,16,208,7,6,51,36,16,108,2,8,1,0,0,0,1,7,-81.32692701,8.176984447,-11.52725629,-11.89712386,0,51.27031907,0.428957363,11.22163084,-4.780166653
1mq5,2,240,0,46,24,0,82,90,0,1,46,3,1,0,0,6,-47.44387973,4.104477603,-0.313862881,-66.09877978,-2.504434447,96.48070856,-69.94532721,4.279561839,-12.4339595
1mrn,13,406,12,3,1,207,46,150,2,8,39,1,3,0,7,20,-130.806651,15.16664512,-19.50597944,-33.88983235,-6.545261953,159.4576045,-75.42720219,15.34683093,-6.244610772
1mrs,14,283,18,3,1,167,33,75,1,6,27,0,1,0,3,8,93.50857699,3.694024055,-14.55473501,-25.31907624,-2.429351353,-78.44334832,-39.64312989,10.23353892,-5.470942181
1mrw,9,330,0,20,36,0,130,153,3,1,32,0,0,0,0,10,-34.93915852,-0.727396171,-3.04077693,-71.50241007,-0.144503777,42.29244508,-89.16753907,6.679019417,-13.40104524
1mrx,6,321,0,13,47,0,107,160,3,1,31,0,0,0,0,10,-33.32524469,0.614458171,-2.986841018,-69.68696502,-0.005397836,44.38773809,-88.73839476,7.740511085,-10.03006067
1msm,6,393,0,20,44,0,161,174,2,1,40,0,0,0,0,11,-36.52259363,-0.012527303,-3.033836206,-77.38093088,-0.568836322,46.35173051,-97.35044317,6.593216933,-14.47865506
1msn,5,364,0,14,46,0,133,176,2,1,40,0,0,0,0,11,-32.69891155,-0.556643665,-3.083230269,-71.9477666,-0.122662379,47.38666272,-90.47167866,8.481012003,-12.5582991
1n1m,8,152,1,0,0,69,2,88,3,1,22,0,0,0,3,3,-117.6222756,1.905389427,-2.628545658,-24.04171486,0,102.3298498,-29.30195763,2.551297608,-7.874841018
1n3i,10,267,2,34,0,40,100,101,5,4,24,0,0,1,0,5,-65.08673662,6.531391385,-2.840527415,-35.24724545,-0.282609674,27.93886971,-40.66969032,7.759725432,-12.28198889
1n4h,3,173,2,1,10,94,10,59,0,2,24,0,0,0,0,5,-36.55547874,3.627194125,-3.103362035,-75.03687618,0,40.54510509,-52.53890481,3.866120982,-9.049159416
1n8v,2,142,8,0,6,104,0,26,1,0,14,0,0,0,0,12,0.867428938,2.876957695,-0.662664299,-66.34558017,0,16.33822069,-41.77506795,3.096074247,-8.330752867
1nc3,10,288,0,20,20,47,80,131,7,1,18,0,0,0,0,6,-27.39308686,3.154129399,-7.274836396,-33.35195057,-1.292008715,22.19796802,-49.89597712,7.640280811,-6.907755279
1nf8,11,215,7,0,10,60,42,107,0,6,28,0,0,0,3,5,-169.4768674,-0.269842239,-12.56392551,-34.30399546,0,162.6312498,-29.75433171,4.289214024,-10.80372926
1nfu,3,250,0,42,37,0,56,118,1,0,52,0,0,0,0,7,-143.1485718,1.573035402,-2.590573765,-38.97428617,-0.616212157,163.4907018,-52.52676374,14.25323348,-10.69320517
1nfw,1,199,0,30,31,0,55,84,0,1,38,0,2,1,0,5,-37.84713523,1.591976673,-0.658809146,-42.10449786,-4.52771001,87.41242543,-57.1983048,14.42443499,-12.37869746
1nfx,2,204,0,32,22,0,57,95,0,1,47,0,3,0,0,7,-52.79488007,-0.24371343,-1.137407486,-39.66428215,-5.207911234,80.8067336,-56.42877874,21.21710309,-11.770815
1nh0,11,430,0,36,43,0,170,192,4,4,42,0,0,0,1,23,-125.745211,-0.328082257,-12.1213745,-62.07641687,-0.592684493,109.6358145,-91.7796505,11.59600436,-13.45630728
1njc,15,250,2,8,1,16,97,141,3,10,9,0,0,0,4,6,-11.55433952,1.550946835,-20.38510627,-14.16587691,-0.308815591,-1.864823831,-25.55845292,3.412432838,-7.66760836
1njd,20,248,3,8,0,17,94,146,2,9,6,0,0,0,4,5,-16.41597795,1.284875841,-18.5975797,-13.48489281,-5.45E-06,5.641592688,-31.27185643,2.066094587,-7.695239381
1nl9,17,271,13,1,17,95,11,151,2,10,27,0,2,0,1,12,-190.4694934,2.169209927,-14.37389919,-30.22508764,-0.726760009,176.0401194,-51.51002525,11.90452744,-8.234044293
1nli,7,194,1,12,21,89,70,8,3,2,20,0,2,0,0,1,-45.93740934,2.003757272,-6.457615441,-5.35419376,-1.548542871,19.39080425,-21.6252917,1.642290619,-4.95976829
1no6,14,212,12,0,13,73,10,118,0,8,22,1,0,0,1,4,-165.4409832,3.73996521,-12.05820166,-16.67237813,-0.562487308,158.5337212,-39.35373862,3.235278769,-6.092640156
1nq7,3,192,4,1,10,114,9,57,0,2,32,0,0,0,1,6,-38.31579348,2.185817322,-3.555655763,-79.07879988,0,47.08109556,-55.65797148,6.778138784,-9.394547179
