PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,Experimental
2ctc,-12.27734502,1.993359271,-10.4831619,-18.7417439,-0.376875799,14.14218398,-19.79965387,3.098446118,8,84,0,0,1,1,13,77,1,4,11,0,0,0,5,4,-5.37
2d0k,-19.56279055,-2.21000385,-12.69612153,-19.77042988,-1.831907591,25.63922366,-38.8600431,7.399989638,5,117,2,21,0,57,35,7,2,2,20,0,0,0,2,10,-6.94
2d1o,-184.5142637,2.763512013,-3.659924691,-53.6729873,-1.03E-08,189.1454919,-60.38986793,9.917640032,10,151,1,22,64,21,14,39,4,2,23,0,0,0,1,20,-10.64
2d3u,-56.86138089,0.732795429,-1.61367074,-39.82448031,-3.112598653,59.65232099,-41.43026946,5.114070742,3,74,4,0,15,34,0,24,0,2,33,0,2,0,0,5,-9.56
2d3z,-55.39933711,-1.406736983,-1.767201427,-41.03991442,-4.117502253,56.14710455,-37.05393815,4.065602251,3,73,2,0,13,38,0,23,0,2,28,0,0,0,0,5,-9.17
2drc,-52.58433842,-2.404269321,-12.1922756,-25.34641113,-1.09403796,37.99271979,-38.35474565,4.636573562,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,11,-13.66
2er9,-58.95659404,11.07412333,-3.516025652,-55.01925799,-0.072882248,64.11140829,-84.85166317,64.96549358,14,241,0,10,62,0,43,140,7,4,31,0,0,0,1,34,-10.22
2f01,-41.3543663,1.212118842,-3.453591843,-41.17640202,0,34.19219306,-40.71996736,0.723640763,8,120,0,1,11,0,99,17,2,5,22,0,0,0,0,5,-17.96
2f80,-15.68878651,4.333160543,-2.375879064,-57.39862197,-1.32E-06,4.60343141,-61.22660092,6.519899099,13,164,0,29,37,0,64,47,3,3,25,0,0,0,0,14,-11.3
2fai,-16.58803418,3.001720456,-1.956593759,-57.89444311,-0.453119016,18.44142469,-40.81289119,3.246900487,3,56,9,0,0,46,0,4,2,1,15,0,0,1,0,4,-8.62
2fdp,-89.62001456,4.719031292,-3.644802589,-58.84863683,-0.552276124,77.50164952,-75.73258829,7.475955019,12,185,0,7,62,0,49,79,2,3,32,0,0,1,4,15,-10.49
2flb,-175.6544394,9.094004925,-2.592557246,-19.05516663,-1.557309612,226.1747816,-36.43674787,14.18419855,8,147,0,27,48,0,10,70,1,0,17,0,0,1,0,5,-7.93
2fzc,-149.0448008,-1.032628808,-8.521309147,-8.930695107,0,150.0715615,-23.65816161,4.425066646,16,144,0,0,9,86,35,30,1,7,3,0,0,0,5,9,-3.73
2g5u,1.437866652,0.196651455,0,-26.41123948,0,4.626772586,-20.1498101,0.841459494,0,27,0,3,0,0,24,0,0,0,8,0,0,0,0,3,-11.73
2g8r,44.1195448,10.53083031,-3.15143974,-10.2479106,-2.21E-05,-23.2761825,-29.1210475,11.71109521,4,67,0,12,7,3,24,25,0,2,11,0,0,0,1,6,-5.51
2g94,-75.32202296,2.48741933,-3.366541589,-61.42342478,0,48.62561972,-80.29863459,22.96893147,13,220,0,24,67,0,52,90,3,8,35,0,0,0,0,20,-13.15
2gss,-2.64658094,2.690229309,-0.719612434,-33.75654625,-2.575191141,12.21629482,-30.1293044,1.772372578,1,47,0,0,4,24,9,11,0,1,16,0,1,0,1,6,-6.82
2h3e,-135.5696658,5.143710459,-12.65497971,-10.43739844,0,134.8996434,-24.93847281,8.142490932,26,190,16,0,16,82,41,61,2,12,7,0,0,0,3,7,-7.87
2hdq,-46.45959493,0.128248734,-8.836906785,-9.90363789,-1.926171681,52.13445836,-16.1510305,0.042096507,4,54,0,0,2,0,16,40,0,4,20,0,1,0,2,1,-1.93
2i0d,2.069540937,6.390892422,-1.987334118,-55.5870589,-0.802040989,7.725268505,-72.01351666,6.73847972,6,140,0,12,41,0,45,48,2,3,25,0,0,0,0,15,-16.72
2j77,-25.58139888,-0.231505685,-3.357034091,-19.40664635,0,48.99471996,-20.18268357,8.347754003,15,149,0,0,0,0,69,95,4,3,16,2,0,0,3,5,-6.76
2j78,-38.55229918,1.03418185,-3.760845795,-16.87615732,0,33.09864462,-19.92277258,5.041194737,18,167,0,0,0,0,83,102,4,4,18,0,0,0,0,6,-8.87
2qwb,79.81067265,9.677075218,-12.88735112,-13.50230701,0,-43.8606426,-32.00270909,14.78786524,13,117,0,0,0,0,74,56,2,4,7,0,0,0,2,10,-3.79
2qwd,138.5940762,-1.125967407,-12.7227906,-13.08242422,0,-76.89977648,-31.69795994,10.15733371,12,124,0,0,1,0,77,58,2,4,8,0,0,0,4,9,-6.7
2qwe,-55.96785021,-0.975144864,-7.896867988,-12.09469558,0,109.3386593,-22.72773775,21.24595604,21,211,0,14,10,0,110,98,5,4,12,0,0,0,14,13,-10.33
2rkm,-149.3500102,2.583182929,-5.755320383,0,0,141.922561,-44.80329233,4.032735067,11,170,1,22,25,29,41,63,6,2,14,0,0,0,3,14,-5.39
2std,-5.415825877,2.045585256,-0.038864401,-63.78108213,-0.843482855,13.46879843,-48.38177725,1.880837137,1,48,1,0,0,10,17,21,0,0,22,0,0,1,0,4,-13.61
2usn,-31.48623905,4.199990306,-1.756216696,-25.75556602,-1.481076821,36.00479584,-43.8762201,7.507312296,7,96,0,31,3,21,27,21,2,2,20,1,0,0,0,8,-8.99
3gss,-29.67561469,-5.476044388,-3.884711655,-40.31234336,-2.546045522,32.46677017,-42.7920559,14.46230281,9,171,8,10,9,64,17,72,2,8,37,0,1,0,2,19,-8.04
3pce,-30.1023025,1.797311288,-0.359173494,-18.24217932,-0.435826928,38.94748288,-16.04350309,3.182967073,4,82,0,2,0,1,57,26,1,0,25,0,0,1,0,3,-2.76
3pch,-57.06185156,1.551092747,-2.073972466,-23.14334122,-0.459264628,55.92102305,-13.00656375,0.527661004,13,83,0,3,0,0,61,32,1,2,21,0,0,0,0,2,-7.46
3pcj,-77.77372648,2.292692925,-2.29568085,-12.95130572,-0.325809513,88.58499166,-25.87772644,2.994065554,7,70,0,1,0,0,40,36,0,3,15,0,0,0,0,2,-9.97
4er2,-57.41887215,3.788851807,-3.11510099,-60.38753792,0,45.28470116,-69.83139801,13.03764168,11,178,0,12,50,0,61,66,4,4,15,0,0,0,1,30,-12.85
4tim,-100.1697019,0.035903396,-7.276549547,-8.42460833,0,127.9031191,-24.56013367,2.499109204,11,102,0,20,17,0,22,54,0,6,6,0,0,0,3,5,-2.98
4tln,-34.05918306,9.818775164,-2.03196243,-14.30017079,0,36.74297794,-13.15880032,11.45008593,9,76,0,7,0,48,15,15,2,1,1,0,0,0,3,5,-5.14
4tmn,142.6928435,13.21724421,-5.426511008,-39.36664369,-0.520020615,-71.62406907,-58.56215942,12.17901676,10,164,0,17,0,64,47,46,1,5,27,0,0,0,5,14,-14.05
5er1,-22.32926652,12.65327949,-2.183189113,-53.34504419,0,18.53444988,-48.10251583,28.66210333,5,126,0,14,35,0,49,33,3,1,27,0,0,0,5,19,-8.32
6rnt,-22.75343211,2.131703273,-11.17407967,-3.816439667,-5.426339713,19.73366625,-21.89601414,5.456730406,8,124,0,0,19,0,60,53,0,4,6,1,1,0,3,7,-3.27
6std,-2.82807792,0.744112189,-0.31861255,-63.36032123,-1.598945035,5.826792594,-53.23580057,2.648603437,0,78,4,0,0,37,26,11,0,0,33,0,0,1,0,4,-11.94
7cpa,-57.63212609,3.250645885,-13.35361271,-39.14609345,-1.858504912,95.60956382,-56.13312994,10.82633637,14,196,0,9,0,6,32,163,1,8,14,0,1,0,9,15,-19.29
8cpa,-8.85435057,1.969930248,-12.49955846,-26.01380752,-1.151402661,78.86589132,-45.14022086,10.34770265,12,180,0,5,0,7,30,150,2,6,13,0,1,0,9,12,-12.64
