PDB,MMGBSA_dG_Bind_Coulomb,MMGBSA_dG_Bind_Covalent,MMGBSA_dG_Bind_Hbond,MMGBSA_dG_Bind_Lipo,MMGBSA_dG_Bind_Packing,MMGBSA_dG_Bind_Solv_GB,MMGBSA_dG_Bind_vdW,Lig_Strain_Energy,X2.5_contacts,X4.0_contacts,backbone_alpha,backbone_beta,backbone_other,sidechain_alpha,sidechain_beta,sidechain_other,ligand_HBD,receptor_HBD,hydrophobic,pi.cation,pi.pi,pi.t,salt_bridge,rot_bonds,Experimental
1fl3,-28.85391276,3.291155488,-0.954644578,-49.56779245,-5.332965067,55.71139201,-56.41170851,1.966373554,0,80,0,1,20,0,49,10,0,0,49,0,2,2,0,7,-9.394547179
1fm9,44.67244575,-0.548879288,-1.505303538,-66.0297825,-2.950109148,-39.23355144,-73.45812049,23.71895094,6,153,19,0,1,108,11,20,1,4,65,0,1,1,2,12,-12.4339595
1fo0,-110.3452105,9.653048243,-11.25407713,-74.88421229,-2.722475002,95.24060123,-121.3066624,14.46598221,26,491,8,0,16,328,93,72,8,12,75,0,0,0,1,32,-7.722870402
1fq5,-49.12861322,0.610586727,-3.031830001,-71.83328418,-1.159763242,66.67037852,-93.34413178,17.49943909,8,201,0,17,53,0,58,81,4,4,43,0,0,1,0,11,-11.60502887
1fv0,79.65013125,3.823040969,-1.752352667,-24.33987705,-0.562123907,-28.46935769,-48.66085864,5.389546411,4,113,6,0,35,42,0,34,1,1,20,0,0,0,0,4,-8.192597761
1fwv,-13.46451741,2.478034942,-3.901762873,-14.82645338,0,14.85568154,-25.58296031,16.36771747,5,82,0,0,19,0,19,49,1,4,6,0,0,0,0,17,-5.139369928
1fzq,-77.21485819,1.879506914,-13.60995478,-6.458203499,-0.008543548,72.68826652,-46.03010027,3.937414807,15,202,30,3,23,57,1,103,2,10,16,0,0,0,1,9,-10.52741905
1g1d,3.284805259,2.221088379,-2.497719098,-20.17746229,-0.908644555,-9.542780809,-29.49081867,2.682996584,6,86,0,0,3,4,47,38,0,2,14,0,0,0,1,5,-13.04184197
1g2k,7.930668276,4.479861642,-3.047742019,-60.05548905,-0.736558046,12.97186755,-89.2027863,9.110782298,5,174,0,14,45,0,55,65,2,3,38,0,0,0,0,13,-10.9971464
1g2l,-179.2313269,3.027127045,-7.575166464,-43.4712682,-2.522729898,186.9212517,-61.01529954,6.475383122,4,179,0,11,72,5,5,90,4,1,56,0,1,3,0,13,-10.00242964
1g2o,-102.311,6.051163085,-2.023574452,-30.24311796,-0.502340641,84.68953739,-42.99575064,4.318015728,6,155,2,37,0,18,50,54,4,1,18,0,0,1,0,5,-14.57536364
1g35,8.837237995,3.937918153,-3.919776795,-61.6192925,-0.413251433,11.93336917,-86.50739127,9.841188938,6,184,0,16,46,0,58,70,2,3,41,0,0,0,0,16,-11.24582559
1g36,-210.596849,3.198122528,-8.049391775,-29.70257298,-1.765547485,231.7516435,-48.60321728,8.127744544,5,132,0,26,37,0,21,53,4,0,26,0,0,2,0,7,-9.90572107
1g3b,-137.4838403,5.578727005,-7.568028647,-15.21060327,-4.78E-07,145.7127841,-32.43621358,6.444440092,7,112,0,8,42,0,6,63,4,0,10,0,0,0,1,6,-7.93010306
1g3d,-139.150153,4.900980463,-6.869900208,-13.85121048,0,146.8089659,-28.2069318,4.898673078,7,99,0,10,38,0,5,53,2,0,15,0,0,0,0,6,-7.66760836
1g3e,-101.7376753,3.278387675,-7.568277551,-13.44992316,0,122.684192,-33.30326548,4.995972252,7,113,0,8,44,0,6,62,3,0,19,0,0,0,0,6,-7.43274468
1g45,2.747710076,2.13823625,-2.518219439,-18.37209108,-0.304599181,-9.384554354,-27.43177776,2.700345585,6,82,0,0,3,0,48,37,0,2,14,0,0,0,1,5,-11.93660112
1g46,0.142539996,1.345567241,-2.417788377,-18.61209542,-0.387703569,-7.466764822,-28.13764641,2.390336524,7,82,0,0,5,1,43,40,0,1,16,0,0,0,1,5,-12.15764929
1g48,2.065086074,1.722091921,-2.302861859,-17.85773501,-0.473342064,-6.608145274,-27.85766106,4.052607188,7,80,0,0,4,1,41,41,0,1,14,0,0,0,1,5,-11.61884438
1g4j,2.027607592,2.270304579,-2.444858359,-15.2279847,-0.340740104,-9.502103894,-26.26029292,3.596682492,7,89,0,0,4,1,47,44,0,2,14,0,0,0,1,5,-12.01949419
1g4o,2.86786097,0.81245825,-2.38063347,-17.95424625,-0.503391327,-5.81673943,-26.60532919,2.69028038,6,81,0,0,3,1,39,44,0,1,16,0,0,0,0,5,-11.39779621
1g52,3.460019414,2.555046795,-2.441017645,-19.32642375,-1.090664009,-9.811050905,-28.740171,2.951413057,7,80,0,0,3,3,42,39,0,2,13,0,0,1,1,5,-13.17999707
1g53,5.439254334,1.878800382,-2.440525916,-19.25147185,-0.339533164,-8.13321029,-29.64008453,4.162784002,6,89,0,0,4,5,47,39,0,2,15,0,0,0,0,5,-12.48922154
1g54,7.013566717,1.350918778,-2.191430569,-16.9185956,-1.505950964,-10.26021102,-29.94254177,2.426698821,8,80,0,0,3,10,35,40,0,1,12,0,0,1,0,5,-12.18528031
1g7g,-109.3772045,11.56499029,-11.10622997,-40.0579462,-0.421661331,135.5662161,-61.9575008,18.02160994,12,172,8,0,9,26,3,138,3,8,41,0,1,0,3,19,-9.118236968
1g7v,-108.9175429,5.216337507,-5.680276093,-17.04592649,0,163.0622562,-41.35576028,9.84941735,4,115,0,0,21,0,21,77,0,1,6,0,0,0,3,16,-8.841926757
1g85,-1.909597324,1.461492029,0,-34.56863408,0,8.24884568,-26.4865687,1.602451636,0,19,0,0,0,0,16,3,0,0,4,0,0,0,0,6,-7.570899786
1g98,-171.2908219,-0.262964544,-10.54775268,-11.91271483,0,177.2608937,-34.53658368,13.58105942,13,158,9,4,31,64,8,55,1,8,0,0,0,0,1,9,-7.874841018
1gaf,-45.15646842,0.678726873,-6.0163937,-21.95995686,-0.812549898,47.78407674,-40.2458987,3.142997695,6,106,0,3,21,0,49,39,0,6,31,0,1,0,2,8,-11.05240845
1gah,-198.6616209,6.553831621,-6.532937191,-49.95921382,0,175.4813128,-57.90345944,22.93370528,13,216,0,0,45,44,20,120,10,2,28,0,0,0,1,22,-16.57861267
1gai,-202.9361017,6.69213195,-6.291468948,-48.45817445,0,176.5967405,-57.33775354,22.60820487,14,205,0,0,44,44,19,112,8,2,26,0,0,0,1,22,-11.05240845
1gcz,-17.17960884,1.033146213,-1.479846329,-30.87510786,-0.335943803,16.32718567,-38.52299606,1.887730249,5,103,0,13,10,0,44,41,1,3,28,0,0,1,0,4,-7.087356916
1ghz,-197.940893,2.532793237,-2.609637819,-13.61484013,-2.11066822,208.9641572,-29.0621903,5.481546755,3,120,0,4,50,0,5,64,3,0,17,0,0,0,0,4,-6.631445068
1gi1,-212.4868975,2.439935614,-2.454217179,-15.16630619,-2.834720224,233.9513344,-29.21843116,4.71328894,4,116,0,16,38,0,6,60,3,0,16,0,0,0,0,4,-7.557084275
1gi4,-201.1538006,1.254202768,-2.26876641,-14.38727725,-0.528603115,230.0461945,-29.96727456,2.446959815,6,122,0,8,49,0,5,66,3,1,15,0,0,0,0,4,-9.933352091
1gi6,-215.7509459,5.897537486,-2.927722909,-18.74658123,-0.292133597,237.2475447,-31.07738053,8.777053966,5,120,0,4,52,0,4,65,3,0,18,0,0,0,0,4,-8.593247567
1gi8,-203.9257118,6.355980752,-2.879025806,-16.29675627,-0.336880117,225.2744251,-31.34074283,8.191259133,1,115,0,5,53,0,5,53,0,0,16,0,0,0,0,4,-6.976832832
1gi9,-203.20333,6.224551775,-2.825005924,-16.87380081,-0.915015591,227.2916039,-33.44332563,8.356228436,1,117,0,4,53,0,6,55,0,0,18,0,0,0,0,5,-7.211696511
1gj6,-185.4369228,1.802705311,-2.511862458,-33.25465448,-2.416979271,227.8878947,-45.16117511,4.170657852,7,175,0,18,55,0,14,95,4,0,29,1,0,1,0,5,-9.670857391
1gj7,-205.9528909,2.573720425,-2.818875764,-31.83825308,-1.974865041,243.8449186,-40.91983538,6.393331839,10,146,0,17,53,0,10,76,4,0,26,1,0,1,0,5,-10.90043783
1gj8,-188.0386783,6.22768405,-2.752119917,-23.80328366,-2.248215008,257.0699484,-37.60963964,14.97801514,1,117,0,5,59,0,7,47,0,0,21,0,0,0,0,7,-9.615595348
1gja,-207.7101126,4.578701079,-7.364958372,-18.26885554,-0.828062739,215.6612443,-39.60757348,7.448365024,9,156,0,5,73,0,3,84,4,2,18,1,0,1,0,5,-7.488006722
1gjb,-184.5793087,3.020809586,-2.660583966,-20.56517411,-0.338782347,241.1561305,-36.27183656,13.45343275,3,119,0,6,57,0,6,53,2,0,18,1,0,1,0,5,-8.772849204
1gjc,-182.5788518,3.454775318,-2.518441714,-20.65191974,-0.413298086,242.7730175,-36.18550866,14.56966892,2,113,0,6,53,0,6,50,2,0,17,1,0,1,0,5,-8.772849204
1gjd,-205.8402679,5.990183114,-7.812999002,-31.47115911,-0.310049943,219.7418597,-48.47939293,8.956482347,9,173,0,32,62,0,8,80,4,2,27,0,0,0,0,5,-7.211696511
1gnm,-48.68848237,6.332196748,-9.814739564,-58.3022923,0,63.6197625,-69.72510547,14.51359335,10,170,0,26,31,0,58,65,5,4,17,0,0,0,1,20,-8.634694099
1gnn,-29.9685928,5.225914037,-9.139717381,-60.50414611,0,32.54894826,-68.4401121,12.79751531,11,200,0,26,39,0,61,85,4,3,15,0,0,0,0,20,-7.847209997
1gno,-18.16301381,12.78505666,-6.585667174,-63.20302863,0,27.87392816,-72.89987611,16.80684922,9,174,0,24,40,0,60,59,3,4,17,0,0,0,0,20,-10.63794313
1gny,-41.22482991,5.158236439,-2.329143108,-30.80835086,0,45.93216213,-43.78502502,19.8180664,7,90,0,1,5,0,59,32,5,4,11,0,0,0,0,20,-5.719621371
1grp,121.9082015,2.870475397,-20.96406044,-6.23392562,0,-80.66155139,-19.95606115,5.036088486,13,104,0,0,0,33,54,30,0,8,1,0,0,0,8,6,-5.139369928
1gt1,-4.103553807,0.993830232,0,-28.05690513,-4.214217666,17.36537105,-33.71252487,0.770188843,0,38,0,2,0,0,32,4,0,0,14,0,1,3,0,1,-8.289306335
1gu1,-9.553431796,-1.163860189,-5.704156524,-19.10271262,0,2.613153373,-26.72258285,4.408443343,13,139,0,6,29,3,34,80,2,6,10,0,0,0,0,4,-6.244610772
1gyx,-3.813238346,0.162024443,-5.621020588,-11.79268386,-3.410947164,0.406955192,-19.34333661,0.140934041,4,66,0,10,1,5,32,22,0,3,18,0,1,0,1,1,-3.426246618
1gyy,3.512808293,-0.224483622,-4.166577133,-17.77001701,-1.032226252,-9.247535827,-21.82309737,0.405877162,3,74,0,9,4,11,20,33,0,2,24,0,0,1,1,3,-5.028845843
1gz3,-2.81406114,4.006190643,-6.519871519,-9.165798526,0,51.29774927,-62.66545142,11.47222798,7,148,14,8,33,30,7,63,0,6,12,0,0,0,2,11,-5.111738906
1gz9,-45.61708097,1.203976888,-3.206431152,-27.62100855,0,35.78668096,-31.38446919,8.201131107,8,139,0,4,22,0,17,104,3,4,13,0,0,0,0,16,-4.849244206
1gzc,-38.84584916,0.760099044,-2.77391091,-20.99425146,0,32.62366367,-22.99880382,4.794987773,6,104,0,4,18,0,17,71,2,3,12,0,0,0,0,12,-4.821613185
1h0a,-367.91277,1.792925057,-26.07633548,-3.173459779,0,362.4455043,-19.26525881,2.88774779,14,147,0,0,4,102,0,55,0,9,0,0,0,0,9,9,-7.515637744
1h1h,-235.7819594,3.100931324,-12.02348629,-2.390677335,-3.36E-06,239.9201567,-27.45253865,2.268856101,6,68,0,0,2,22,16,34,0,5,3,0,0,0,4,8,-7.211696511
1h2t,-57.8730507,8.636147396,-12.89633778,-26.97008023,-10.37921647,59.27144369,-66.82130462,12.78627263,15,331,0,12,23,0,94,217,5,8,58,0,4,0,1,18,-10.90043783
1h46,0.932648442,3.732593737,-0.039321301,-26.08311678,-11.97855914,109.2881365,-44.48306901,2.493500212,0,95,0,0,1,0,29,65,0,0,26,0,3,0,0,6,-4.932137269
1h6h,-95.41493431,5.846702458,-11.57531231,-19.70357081,0,92.01659545,-34.99322427,0.907173913,10,136,8,1,18,55,21,43,1,8,6,0,0,0,3,20,-7.322220596
1h9z,-16.77686173,-0.424516715,-0.494797649,-36.10849992,-0.847696597,32.37464345,-45.2189388,3.043734179,0,46,5,0,0,41,0,0,0,0,24,0,0,1,0,5,-7.488006722
1hbv,-20.83985869,10.34153049,-2.630443603,-65.20169985,-0.569642831,20.79161152,-67.80003827,23.90791669,3,137,0,19,28,0,43,50,1,2,28,0,0,0,3,15,-8.800480225
1heg,-42.92392538,6.149358143,-3.547604704,-52.44331758,-1.90E-10,55.98372402,-75.91363613,7.302173093,6,133,0,22,34,0,32,51,3,1,18,0,0,0,1,16,-10.69320517
1hi3,-182.4288266,4.050538864,-12.50468359,-2.522119171,-5.665264403,182.2418073,-26.9712838,6.93581071,5,101,0,19,0,21,56,10,1,4,10,2,2,0,3,8,-5.788698924
1hi5,-83.34329873,-0.961644627,-8.909505795,-4.201573455,-5.128568867,92.80623877,-30.52539165,8.728922934,7,111,0,23,0,22,54,19,0,5,7,0,0,0,5,9,-5.581466265
1hih,-42.92791231,3.111410504,-2.585483367,-63.39933058,-0.799470368,51.0591691,-78.21533566,13.45563047,7,136,0,12,50,0,30,51,5,2,25,0,0,0,2,16,-11.121486
1hii,-44.719263,2.392112426,-2.568709549,-73.02638265,0,55.13326075,-80.62040427,13.55469624,7,136,0,16,49,0,32,46,5,2,29,0,0,0,2,16,-10.05769169
1hlk,74.34031163,3.778752774,-3.953985155,-17.14115572,-1.265416632,-45.38346686,-31.46983554,4.635635918,1,82,0,0,4,2,17,60,0,2,12,1,0,0,5,4,-6.907755279
1hmr,-27.99073104,-0.684897275,-3.658767163,-51.10077096,0,36.16915361,-44.01589539,9.325414651,3,58,0,7,0,3,47,4,0,3,12,0,0,0,1,16,-9.049159416
1hms,-25.61415842,1.140340457,-5.049201441,-52.32551389,0,34.89988707,-42.34346125,6.476961319,3,56,0,4,0,5,40,10,0,3,15,0,0,0,1,15,-8.800480225
1hmt,-24.94823458,0.687835599,-4.986181814,-51.61563613,0,33.99105847,-44.81602335,6.803062113,3,59,1,4,0,7,43,7,0,3,14,0,0,0,1,16,-7.999180613
1hn2,-2.753948084,1.041978942,-9.53E-05,-28.62640905,-3.203608336,17.72979555,-35.28444572,0.541200428,0,36,0,4,0,0,28,4,0,0,13,0,1,2,0,1,-8.289306335
1hnn,31.94239514,0.619292755,-1.433659804,-22.97759252,-3.702808771,3.69725162,-34.70955572,1.379764744,2,112,2,0,0,45,18,49,1,0,27,0,1,0,2,2,-8.620878588
1hos,-3.57234991,5.099966743,-1.244941991,-67.01597297,-0.100393705,52.98570525,-90.84132244,10.9225858,5,115,0,26,34,0,25,35,4,2,33,0,0,0,0,20,-11.81226153
1hpo,-0.247029363,4.737788966,-1.677955089,-47.37398753,-2.832436433,11.45714384,-63.6633981,7.886569152,4,121,0,17,18,0,26,64,1,5,20,1,0,0,0,7,-12.73790073
1hps,-34.29003943,4.428925532,-2.435632299,-71.58038828,-0.610383541,55.40168543,-83.83538701,9.095676552,6,161,0,15,47,0,39,66,3,2,27,1,0,0,0,18,-12.73790073
1hpv,-5.276253413,3.701531245,-2.791241911,-57.50337759,-0.01805196,16.3520363,-69.09641483,10.01560954,4,130,0,17,28,0,52,37,2,2,24,0,0,0,0,14,-12.73790073
1hpx,-16.35231027,-3.527267204,-1.564057318,-70.72088254,-0.101535988,41.99358015,-78.96552847,13.14832456,4,142,0,14,46,0,37,49,2,1,28,0,0,0,0,15,-15.55626489
1hsh,-19.17724181,2.73387298,-2.491911952,-74.66133348,-0.479933459,53.02330562,-87.53642515,12.325963,6,140,0,23,29,0,41,53,3,1,41,0,0,0,2,14,-13.01421095
1hvh,2.774058599,4.168650461,-4.760133386,-60.03547337,-1.50E-11,3.665691616,-69.51106177,11.20824148,8,166,0,15,40,0,56,63,3,1,27,0,0,0,0,15,-10.9971464
1hvi,-20.62037363,2.127207763,-2.934464419,-74.66182682,-4.882099535,58.15961599,-107.5635092,20.92911577,8,210,0,16,49,0,41,112,3,2,50,2,0,0,0,21,-15.08653753
1hvj,-27.63481461,5.502286235,-2.155888321,-73.65406474,-4.983432504,61.73168661,-104.8098451,17.18078329,7,196,0,16,49,0,36,102,2,2,50,2,0,0,0,20,-15.74968204
1hvk,-37.03398125,2.629363254,-3.489344075,-79.03202978,-4.638803591,60.94269262,-105.6689354,8.264799867,7,242,0,18,57,0,53,121,4,2,50,2,0,0,0,21,-15.14179957
1hvl,-38.02172101,7.013522468,-3.523448933,-76.52933159,-4.845155891,60.86671308,-102.9565463,9.409619247,9,217,0,16,51,0,42,117,4,2,49,2,0,0,0,21,-13.74643301
1hvr,-29.4999215,4.775523354,-2.693624724,-72.08458153,-1.11E-05,49.64382173,-78.93700539,17.0461447,4,155,0,13,37,0,58,51,2,2,40,0,0,0,0,10,-13.13855054
1hvs,-27.43453112,3.53546378,-2.965548527,-70.61222174,-4.437358677,61.38273216,-100.0060415,23.3427557,8,199,0,18,50,0,41,98,3,2,47,2,0,0,0,21,-14.22997587
1hwr,-22.13839807,2.396091303,-2.708511963,-53.58245301,0,40.58535315,-54.18653296,5.278018231,4,122,0,1,40,0,38,47,2,2,33,0,0,0,0,10,-11.50832029
1hxb,-20.82099496,3.997861791,-4.424243168,-70.96523099,-0.445353096,56.92462653,-91.11019184,13.1398281,7,177,0,20,43,0,65,56,3,2,40,0,0,0,2,14,-13.70498647
1hxw,-35.83535589,2.212672743,-2.206872285,-76.10431715,-1.795448579,55.5106647,-94.44720557,11.37795218,6,170,0,19,49,0,34,74,4,2,43,1,0,0,0,19,-14.94838242
1hyo,1.699710977,0.188519347,-8.952442762,-11.09490935,0,36.71975624,-25.71839096,4.47459108,9,82,0,14,6,24,27,20,0,6,8,0,0,0,4,4,-5.622912797
1i00,-23.03462451,4.156590646,-0.974103314,-29.15309527,-0.170973769,56.46932809,-52.22309855,4.733511146,0,60,2,0,2,14,14,28,0,0,26,0,0,1,1,9,-8.759033694
1i5r,-41.42637497,9.109135787,-3.942579969,-92.13561206,-0.372077789,40.47314168,-85.90016332,20.97188455,8,269,0,5,78,47,12,135,2,3,66,0,0,0,0,18,-11.770815
1i7z,-6.793421916,2.635550304,-0.125190774,-42.88911781,-2.12E-08,33.6534964,-51.14164172,2.173673058,0,74,0,2,14,0,44,14,0,1,29,2,0,0,1,5,-8.841926757
1i80,-23.44366048,0.066338306,-1.326322421,-10.01696415,-0.275883496,17.3447854,-25.86136259,0.117430477,3,91,0,32,0,0,38,24,2,1,18,0,0,0,0,0,-8.855742268
1i9l,7.739977846,0.968841836,-2.23373792,-17.5659329,-0.770521115,-12.78679426,-27.0104302,2.77310562,6,85,0,0,5,2,38,46,0,1,16,0,0,0,0,5,-11.71555295
1i9m,1.172743404,3.270420441,-2.993960678,-17.36682354,-0.264965229,-5.728191338,-30.05617045,5.766605854,7,96,0,0,4,0,51,48,1,1,14,1,0,1,0,5,-11.71555295
1i9n,-0.454617405,1.919261817,-2.328655433,-16.67083709,-0.362940314,-5.889455241,-25.38733355,2.260877296,8,84,0,0,4,3,46,39,0,1,12,0,0,0,0,5,-11.96423214
1i9o,-3.985718827,5.549852772,-2.369829408,-13.3570582,-0.334515448,-2.664076247,-26.16651862,5.467084663,8,87,0,0,4,3,41,47,1,1,14,0,0,0,0,5,-11.63265989
1i9p,0.829237893,2.502502286,-2.565957748,-11.92169877,-0.28341885,-7.129055878,-27.22574117,1.932907256,8,89,4,0,3,5,41,44,1,1,12,0,0,0,0,5,-11.61884438
1i9q,3.047636976,1.549978712,-2.467967727,-16.67734103,-0.352284151,-10.39300588,-26.53757103,2.995249343,7,86,0,0,4,3,40,46,0,1,14,0,0,0,1,5,-11.61884438
1if8,5.263284589,2.039283778,-2.280948586,-26.53059305,-0.464431984,-8.612284532,-34.46049938,2.623627639,7,81,0,0,4,2,47,35,0,1,14,0,0,0,1,7,-13.31815218
1igj,-8.343074575,2.023891089,-0.04081532,-60.10263688,0,29.65549618,-48.93766578,2.829340343,0,81,0,0,13,0,39,29,0,0,20,0,0,0,0,7,-13.81551056
1iih,-137.4884183,2.299810297,-8.573601565,-7.98449824,0,153.8710451,-26.11357307,2.902816265,7,101,0,20,21,0,16,51,0,8,3,0,0,0,3,5,-3.992682551
1iiq,-24.70832473,-2.000994689,-5.972996339,-69.36597028,-0.179161427,55.54822842,-93.10430162,12.87429929,9,209,0,40,48,0,79,51,8,3,42,0,0,0,2,22,-10.3340019
1ik4,-60.78101464,1.969294556,-12.83266622,-4.07777933,0,59.32657111,-23.20993384,2.248578551,16,125,11,5,6,74,28,17,1,11,2,0,0,0,3,4,-10.23729332
1ikt,-5.817586957,5.502904186,-0.018358476,-63.91314948,-0.392867179,17.11818635,-54.37438578,7.642472945,0,68,7,0,0,52,9,0,0,0,31,0,0,1,0,13,-4.69727359
1izh,-32.49260817,2.704108231,-5.735564585,-68.54334766,-0.525378366,53.40823036,-93.96685279,14.08413323,8,220,0,31,57,0,79,61,4,3,41,0,0,0,0,21,-10.63794313
1izi,-33.15417774,2.837661963,-5.925695465,-62.67574915,-1.241186546,52.01023877,-88.64408889,13.46411425,10,189,0,35,48,0,59,57,5,3,37,0,0,0,0,21,-9.104421458
1j01,-35.74068901,0.833011687,-3.906960916,-19.36213373,0,43.36519019,-32.50240764,3.306183855,10,158,0,0,0,0,45,123,3,4,17,0,0,0,0,6,-8.938635331
1j14,-299.9546951,1.036170823,-6.947290191,-11.69835781,-0.19055445,305.4810987,-24.91140008,1.700762773,3,94,0,5,42,0,6,44,3,0,11,0,0,0,0,2,-6.203164241
1j4r,-11.38078538,3.437722429,-0.479754442,-50.08983922,-0.852621387,11.64861335,-53.02784446,7.342759184,2,129,0,0,20,12,39,60,0,2,40,0,0,0,0,16,-10.66557415
1jak,-38.99342587,1.971414423,-5.421926778,-22.44147398,0,44.81654446,-29.63591643,12.93835889,8,145,0,0,0,0,30,123,5,4,28,2,0,0,1,5,-7.695239381
1jao,79.52864175,-3.869273053,-1.270490272,-25.30377939,-2.458069336,-49.73266238,-42.3646375,7.182559214,7,112,2,4,42,34,10,27,2,3,29,1,1,0,0,8,-8.17878225
1jet,-178.0813655,1.440963414,-7.813960073,-7.35967988,0,162.852667,-55.24121548,5.609447594,17,234,2,33,32,24,96,64,5,4,20,0,0,0,1,16,-10.01624515
1jeu,-96.86778073,1.879720286,-14.49805661,-9.93276927,0,104.952134,-62.13696039,4.816213505,20,235,2,40,17,41,112,43,9,5,22,0,0,0,2,19,-9.422178201
1jev,-200.0268101,4.531087954,-9.423039142,-21.08836182,-1.298176963,205.2574907,-72.04806488,7.058189955,23,302,3,39,27,58,110,88,8,5,37,1,0,3,1,18,-9.518886774
1jfh,-19.07547954,0.667001387,-0.788968738,-34.7793197,0,26.06764427,-34.21502469,7.346383155,4,75,0,2,12,0,3,62,3,1,11,0,0,0,0,12,-2.832179664
1jlr,-165.4239665,2.050994909,-21.06585661,-8.670211119,-3.806035666,158.4409089,-41.03227724,5.000678231,14,165,1,12,11,56,69,30,1,9,10,0,2,0,8,11,-4.600565016
1jmf,3.458924265,2.532280475,-13.2231749,-10.95375866,-0.832409708,6.21481174,-33.63499184,2.345522,7,140,11,9,0,2,62,63,0,6,5,0,0,0,4,5,-7.971549592
1jmg,12.43151984,2.097337062,-15.16614212,-11.33792004,-0.926487569,-13.11242392,-31.75548225,2.636073916,12,163,9,13,0,2,80,71,1,9,8,0,0,0,4,5,-8.386014909
1jmi,-8.358003116,1.364901722,-14.65182087,-11.022229,-0.031588767,6.180018492,-33.73852236,2.068371291,15,154,6,9,0,5,65,84,1,8,4,0,0,0,4,5,-8.372199398
1jn2,70.35339234,0.775848783,-1.572973883,-10.09076377,-0.715804031,-40.21850046,-26.08151482,1.458371566,1,26,0,1,6,0,0,20,0,1,4,1,0,0,0,7,-5.650543818
1jn4,-104.6779723,4.468177921,-10.42700576,-13.83887776,-5.695307784,117.8567682,-56.33088111,12.79724158,10,196,0,23,0,22,86,75,2,6,17,1,1,0,5,14,-6.838677726
1joc,-133.8519467,-0.535185192,-12.8129542,-9.65857026,0,129.7502395,-20.48741323,6.782708026,9,103,0,15,0,0,58,39,3,6,0,0,0,0,4,8,-6.382765878
1jq8,49.78479913,20.39804881,-1.450972677,-50.27038173,-0.103759067,18.5961306,-52.54645903,40.02881568,5,178,42,0,35,53,0,53,2,1,43,0,0,0,0,19,-8.289306335
1jqe,-3.228702824,3.016058709,-0.000905919,-55.01359245,-12.06275188,43.80932499,-55.98806634,4.070260691,0,110,6,0,3,57,0,44,0,0,65,2,5,0,1,9,-8.897188799
1jqy,-27.49139878,7.161971913,-3.392770311,-20.90558729,-0.548997131,30.85424814,-40.70780614,25.43376618,12,133,1,0,22,11,29,82,4,3,20,0,0,0,0,13,-6.797231195
1jyq,-250.3630996,1.569985675,-23.10708547,-26.30193333,-3.812047164,227.8536802,-48.21983552,9.4927671,19,256,0,32,20,62,81,80,3,14,36,2,0,0,4,20,-12.01949419
1jzs,4.975974954,0.271259731,-2.985276736,-62.73465756,0,20.48895552,-68.04726217,17.1961915,4,107,6,24,7,13,27,34,2,3,15,0,0,0,0,20,-9.118236968
1k1i,-184.6683679,6.378209115,-8.93886707,-30.81689921,-0.027108526,203.7435293,-51.9656498,13.1214281,9,135,0,6,70,0,4,64,4,3,14,0,0,0,1,9,-9.090605947
1k1j,-284.9139273,3.417066124,-7.920880663,-35.27034058,-0.010880625,295.5151394,-52.02416545,10.58187914,7,143,0,6,71,0,4,69,4,2,22,0,0,0,0,10,-10.43071047
1k1l,-370.5141812,3.223748845,-8.090428154,-31.36317042,-0.008363181,377.3194148,-46.99348376,11.0681456,7,134,0,6,70,0,5,60,4,1,16,0,0,0,0,8,-9.532702285
1k1m,-286.469009,3.159779551,-8.059869715,-31.23134375,-0.008910561,296.5029163,-49.23871324,12.2360671,5,136,0,5,73,0,4,59,4,1,18,0,0,0,0,8,-10.22347781
1k1n,-172.9570294,4.29010565,-8.40695836,-32.8837062,-2.00E-11,184.5472224,-51.51803277,5.746752921,8,146,0,7,68,0,4,75,4,2,17,0,0,0,0,13,-9.422178201
1k4h,-21.14359615,1.525279631,-4.783764149,-31.80454948,-5.225607887,36.39963988,-42.83096211,1.546830558,5,108,0,3,20,26,29,35,3,1,17,0,2,0,0,6,-7.059725895
1kav,-154.4720888,0.9714954,-7.779701002,-33.66569028,-1.300962247,164.4483916,-36.22995842,1.780356887,9,139,13,0,11,35,10,79,0,7,32,0,0,0,1,7,-8.040627145
1kc7,123.2398571,1.43865424,-9.298875005,-3.43287445,0,-78.97996541,-17.66118151,1.785445423,8,102,12,9,3,33,42,11,0,7,5,0,0,0,4,3,-7.626161828
1kdk,-15.81607061,0.691124902,-1.445874959,-68.56904431,0,14.79613036,-51.50908778,0.877248374,4,87,0,17,2,0,41,31,1,2,22,0,0,0,0,1,-12.50303706
1kel,-115.7419985,1.657585154,-9.652012921,-24.47348752,-6.395621462,119.830426,-44.15689181,5.460887355,5,133,0,0,9,0,107,22,0,5,40,1,3,0,4,10,-10.05769169
1kjr,-26.85755336,1.399406451,-5.182775069,-22.9213707,-2.939496348,18.52204056,-34.33558418,9.393277231,9,186,0,0,2,0,192,1,2,2,13,1,0,0,0,14,-8.372199398
1kmy,-19.25666775,1.513577471,-1.406658767,-17.89276643,-2.407391339,18.25101403,-31.30494364,1.660644425,4,106,0,0,1,0,86,23,2,1,30,2,1,1,0,3,-7.045910385
1koj,-130.9252285,0.900763112,-10.2906956,-11.49524162,0,119.357071,-33.22723981,3.301648748,15,201,7,4,41,76,8,80,3,11,1,0,0,0,2,10,-9.256392074
